###################################################
# Classe 21 : K = 6, M = 2, T = 8, N = 20
# Exemplo: 6.   Nome do arquivo: c21ex06.dat          Semente: 1500

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 55, 65, 70, 70, 80, 82, 83, 84, 87, 97, 103, 105, 119, 124, 128, 138, 138, 147, 148] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.735;
1 1 2 20.735;
1 1 3 20.735;
1 1 4 20.735;
1 1 5 20.735;
1 1 6 20.735;
1 1 7 20.735;
1 1 8 20.735;
1 2 1 22.816;
1 2 2 22.816;
1 2 3 22.816;
1 2 4 22.816;
1 2 5 22.816;
1 2 6 22.816;
1 2 7 22.816;
1 2 8 22.816;
2 1 1 21.492;
2 1 2 21.492;
2 1 3 21.492;
2 1 4 21.492;
2 1 5 21.492;
2 1 6 21.492;
2 1 7 21.492;
2 1 8 21.492;
2 2 1 22.172;
2 2 2 22.172;
2 2 3 22.172;
2 2 4 22.172;
2 2 5 22.172;
2 2 6 22.172;
2 2 7 22.172;
2 2 8 22.172;
3 1 1 22.14;
3 1 2 22.14;
3 1 3 22.14;
3 1 4 22.14;
3 1 5 22.14;
3 1 6 22.14;
3 1 7 22.14;
3 1 8 22.14;
3 2 1 22.264;
3 2 2 22.264;
3 2 3 22.264;
3 2 4 22.264;
3 2 5 22.264;
3 2 6 22.264;
3 2 7 22.264;
3 2 8 22.264;
4 1 1 22.355;
4 1 2 22.355;
4 1 3 22.355;
4 1 4 22.355;
4 1 5 22.355;
4 1 6 22.355;
4 1 7 22.355;
4 1 8 22.355;
4 2 1 16.56;
4 2 2 16.56;
4 2 3 16.56;
4 2 4 16.56;
4 2 5 16.56;
4 2 6 16.56;
4 2 7 16.56;
4 2 8 16.56;
5 1 1 17.064;
5 1 2 17.064;
5 1 3 17.064;
