###################################################
# Classe 16 : K = 4, M = 2, T = 12, N = 5
# Exemplo: 2.   Nome do arquivo: c16ex02.dat          Semente: 7763

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [57, 65, 76, 98, 139] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.196;
1 1 2 20.196;
1 1 3 20.196;
1 1 4 20.196;
1 1 5 20.196;
1 1 6 20.196;
1 1 7 20.196;
1 1 8 20.196;
1 1 9 20.196;
1 1 10 20.196;
1 1 11 20.196;
1 1 12 20.196;
1 2 1 21.804;
1 2 2 21.804;
1 2 3 21.804;
1 2 4 21.804;
1 2 5 21.804;
1 2 6 21.804;
1 2 7 21.804;
1 2 8 21.804;
1 2 9 21.804;
1 2 10 21.804;
1 2 11 21.804;
1 2 12 21.804;
2 1 1 18.468;
2 1 2 18.468;
2 1 3 18.468;
2 1 4 18.468;
2 1 5 18.468;
2 1 6 18.468;
2 1 7 18.468;
2 1 8 18.468;
2 1 9 18.468;
2 1 10 18.468;
2 1 11 18.468;
2 1 12 18.468;
2 2 1 22.08;
2 2 2 22.08;
2 2 3 22.08;
2 2 4 22.08;
2 2 5 22.08;
2 2 6 22.08;
2 2 7 22.08;
2 2 8 22.08;
2 2 9 22.08;
2 2 10 22.08;
2 2 11 22.08;
2 2 12 22.08;
3 1 1 21.384;
3 1 2 21.384;
3 1 3 21.384;
3 1 4 21.384;
3 1 5 21.384;
3 1 6 21.384;
3 1 7 21.384;
3 1 8 21.384;
3 1 9 21.384;
3 1 10 21.384;
3 1 11 21.384;
3 1 12 21.384;
3 2 1 15.547;
3 2 2 15.547;
3 2 3 15.547;
3 2 4 15.547;
3 2 5 15.547;
3 2 6 15.547;
3 2 7 15.547;
3 2 8 15.547;
3 2 9 15.547;
3 2 10 15.547;
3 2 11 15.547;
3 2 12 15.547;
4 1 1 22.572;
4 1 2 22.572;
