###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 3.   c14ex03.dat          Semente: 6548
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [57, 74, 89, 90, 96, 113, 115, 124, 129, 143]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [35.64 30.36; 35.64 30.36; 35.64 30.36; 35.64 30.36]

global c_km = [22.68 18.4; 43.2 32.2; 34.56 36.8; 41.04 40.48]

global p_km = [3.175 2.576; 6.048 4.508; 4.838 5.152; 5.746 5.667]

global c_x = [
1 1 1 19.548;
1 1 2 19.548;
1 1 3 19.548;
1 1 4 19.548;
1 1 5 19.548;
1 1 6 19.548;
1 1 7 19.548;
1 1 8 19.548;
1 1 9 19.548;
1 1 10 19.548;
1 2 1 16.928;
1 2 2 16.928;
1 2 3 16.928;
1 2 4 16.928;
1 2 5 16.928;
1 2 6 16.928;
1 2 7 16.928;
1 2 8 16.928;
1 2 9 16.928;
1 2 10 16.928;
2 1 1 16.848;
2 1 2 16.848;
2 1 3 16.848;
2 1 4 16.848;
2 1 5 16.848;
2 1 6 16.848;
2 1 7 16.848;
2 1 8 16.848;
2 1 9 16.848;
2 1 10 16.848;
2 2 1 22.172;
2 2 2 22.172;
2 2 3 22.172;
2 2 4 22.172;
2 2 5 22.172;
2 2 6 22.172;
2 2 7 22.172;
2 2 8 22.172;
2 2 9 22.172;
2 2 10 22.172;
3 1 1 21.06;
3 1 2 21.06;
3 1 3 21.06;
3 1 4 21.06;
3 1 5 21.06;
3 1 6 21.06;
3 1 7 21.06;
3 1 8 21.06;
3 1 9 21.06;
3 1 10 21.06;
3 2 1 16.836;
3 2 2 16.836;
3 2 3 16.836;
3 2 4 16.836;
3 2 5 16.836;
3 2 6 16.836;
3 2 7 16.836;
3 2 8 16.836;
3 2 9 16.836;
3 2 10 16.836;
4 1 1 18.9;
4 1 2 18.9;
4 1 3 18.9;
4 1 4 18.9;
4 1 5 18.9;
4 1 6 18.9;
4 1 7 18.9;
4 1 8 18.9;
4 1 9 18.9;
4 1 10 18.9;
4 2 1 17.572;
4 2 2 17.572;
4 2 3 17.572;
4 2 4 17.572;
4 2 5 17.572;
4 2 6 17.572;
4 2 7 17.572;
4 2 8 17.572;
4 2 9 17.572;
4 2 10 17.572;
]

global c_z = [
1 1 1 0.626;
1 1 2 0.626;
1 1 3 0.626;
1 1 4 0.626;
1 1 5 0.626;
1 1 6 0.626;
1 1 7 0.626;
1 1 8 0.626;
1 1 9 0.626;
1 1 10 0.626;
1 2 1 0.846;
1 2 2 0.846;
1 2 3 0.846;
1 2 4 0.846;
1 2 5 0.846;
1 2 6 0.846;
1 2 7 0.846;
1 2 8 0.846;
1 2 9 0.846;
1 2 10 0.846;
2 1 1 0.809;
2 1 2 0.809;
2 1 3 0.809;
2 1 4 0.809;
2 1 5 0.809;
2 1 6 0.809;
2 1 7 0.809;
2 1 8 0.809;
2 1 9 0.809;
2 1 10 0.809;
