###################################################
# Classe 3 : K = 2, M = 2, T = 8, N = 20
# Exemplo: 6.   c3ex06.dat          Semente: 1534
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 20

global L = [540, 460]

global l = [61, 63, 67, 69, 78, 79, 91, 95, 97, 98, 101, 105, 107, 112, 123, 135, 139, 140, 144, 149]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [29.16 24.84; 29.16 24.84]

global c_km = [39.96 33.12; 41.04 35.88]

global p_km = [4.675 3.875; 4.802 4.198]

global c_x = [
1 1 1 23.22;
1 1 2 23.22;
1 1 3 23.22;
1 1 4 23.22;
1 1 5 23.22;
1 1 6 23.22;
1 1 7 23.22;
1 1 8 23.22;
1 2 1 18.584;
1 2 2 18.584;
1 2 3 18.584;
1 2 4 18.584;
1 2 5 18.584;
1 2 6 18.584;
1 2 7 18.584;
1 2 8 18.584;
2 1 1 25.704;
2 1 2 25.704;
2 1 3 25.704;
2 1 4 25.704;
2 1 5 25.704;
2 1 6 25.704;
2 1 7 25.704;
2 1 8 25.704;
2 2 1 19.412;
2 2 2 19.412;
2 2 3 19.412;
2 2 4 19.412;
2 2 5 19.412;
2 2 6 19.412;
2 2 7 19.412;
2 2 8 19.412;
]

global c_z = [
1 1 1 1.115;
1 1 2 1.115;
1 1 3 1.115;
1 1 4 1.115;
1 1 5 1.115;
1 1 6 1.115;
1 1 7 1.115;
1 1 8 1.115;
1 2 1 0.595;
1 2 2 0.595;
1 2 3 0.595;
1 2 4 0.595;
1 2 5 0.595;
1 2 6 0.595;
1 2 7 0.595;
1 2 8 0.595;
2 1 1 1.054;
2 1 2 1.054;
2 1 3 1.054;
2 1 4 1.054;
2 1 5 1.054;
2 1 6 1.054;
2 1 7 1.054;
2 1 8 1.054;
2 2 1 0.796;
2 2 2 0.796;
2 2 3 0.796;
2 2 4 0.796;
2 2 5 0.796;
2 2 6 0.796;
2 2 7 0.796;
2 2 8 0.796;
]

global c_y = [
1 1 1 3.019;
1 1 2 3.019;
1 1 3 3.019;
1 1 4 3.019;
1 1 5 3.019;
1 1 6 3.019;
1 1 7 3.019;
1 1 8 3.019;
1 2 1 2.23;
1 2 2 2.23;
1 2 3 2.23;
1 2 4 2.23;
1 2 5 2.23;
1 2 6 2.23;
1 2 7 2.23;
1 2 8 2.23;
2 1 1 3.856;
2 1 2 3.856;
2 1 3 3.856;
2 1 4 3.856;
2 1 5 3.856;
2 1 6 3.856;
2 1 7 3.856;
2 1 8 3.856;
2 2 1 2.718;
2 2 2 2.718;
2 2 3 2.718;
2 2 4 2.718;
2 2 5 2.718;
2 2 6 2.718;
2 2 7 2.718;
2 2 8 2.718;
]

global c_sc = [
1 1 1 0.133;
1 1 2 0.133;
1 1 3 0.133;
1 1 4 0.133;
1 1 5 0.133;
1 1 6 0.133;
1 1 7 0.133;
1 1 8 0.133;
1 2 1 0.08;
1 2 2 0.08;
1 2 3 0.08;
1 2 4 0.08;
1 2 5 0.08;
1 2 6 0.08;
1 2 7 0.08;
1 2 8 0.08;
2 1 1 0.135;
2 1 2 0.135;
2 1 3 0.135;
2 1 4 0.135;
2 1 5 0.135;
2 1 6 0.135;
2 1 7 0.135;
2 1 8 0.135;
2 2 1 0.103;
2 2 2 0.103;
2 2 3 0.103;
2 2 4 0.103;
2 2 5 0.103;
2 2 6 0.103;
2 2 7 0.103;
2 2 8 0.103;
]

global c_w = [
1 1 1 0.372;
1 1 2 0.372;
1 1 3 0.372;
1 1 4 0.372;
1 1 5 0.372;
1 1 6 0.372;
1 1 7 0.372;
1 1 8 0.372;
1 2 1 0.539;
1 2 2 0.539;
1 2 3 0.539;
1 2 4 0.539;
1 2 5 0.539;
1 2 6 0.539;
1 2 7 0.539;
1 2 8 0.539;
2 1 1 0.283;
2 1 2 0.283;
2 1 3 0.283;
2 1 4 0.283;
2 1 5 0.283;
2 1 6 0.283;
2 1 7 0.283;
2 1 8 0.283;
2 2 1 0.582;
2 2 2 0.582;
2 2 3 0.582;
2 2 4 0.582;
2 2 5 0.582;
2 2 6 0.582;
2 2 7 0.582;
2 2 8 0.582;
]

global c_e = [
1 1 1 0.05853066375198728;
1 1 2 0.04417408585055645;
1 1 3 0.05632195945945946;
1 1 4 0.05411325516693164;
1 1 5 0.0596350158982512;
1 1 6 0.051904550874403814;
1 1 7 0.06515677662957074;
1 1 8 0.06515677662957074;
1 2 1 0.048235095389507154;
1 2 2 0.05138086248012718;
1 2 3 0.05767239666136725;
1 2 4 0.05767239666136725;
1 2 5 0.04928368441971383;
1 2 6 0.058720985691573926;
1 2 7 0.04928368441971383;
1 2 8 0.05138086248012718;
2 1 1 0.04562241653418125;
2 1 2 0.04904409777424484;
2 1 3 0.06843362480127185;
2 1 4 0.05702802066772655;
2 1 5 0.0479035373608903;
2 1 6 0.05018465818759937;
2 1 7 0.04562241653418125;
2 1 8 0.05702802066772655;
2 2 1 0.04656766693163752;
2 2 2 0.05306548092209857;
2 2 3 0.049816573926868044;
2 2 4 0.061729232909379955;
2 2 5 0.05414844992050874;
2 2 6 0.04440172893481716;
2 2 7 0.06064626391096979;
2 2 8 0.0638951709062003;
3 1 1 0.06792670906200318;
3 1 2 0.05094503179650239;
3 1 3 0.052158008744038156;
3 1 4 0.06913968600953894;
3 1 5 0.06671373211446742;
3 1 6 0.06913968600953894;
3 1 7 0.06064884737678856;
3 1 8 0.05700991653418124;
3 2 1 0.05067607313195548;
3 2 2 0.0691037360890302;
3 2 3 0.06795200715421303;
3 2 4 0.055282988871224154;
3 2 5 0.0460691573926868;
3 2 6 0.05297953100158982;
3 2 7 0.05413125993640699;
3 2 8 0.04722088632750397;
4 1 1 0.057462519872814;
4 1 2 0.06870518680445152;
4 1 3 0.0699543720190779;
4 1 4 0.058711705087440384;
4 1 5 0.056213334658187605;
4 1 6 0.06745600158982513;
4 1 7 0.07120355723370429;
4 1 8 0.07120355723370429;
4 2 1 0.06998042527821939;
4 2 2 0.06404988076311606;
4 2 3 0.06404988076311606;
4 2 4 0.06049155405405404;
4 2 5 0.055747118441971374;
4 2 6 0.06049155405405404;
4 2 7 0.04744435612082671;
4 2 8 0.06998042527821939;
5 1 1 0.06072126391096979;
5 1 2 0.05648489666136726;
5 1 3 0.07201824324324324;
5 1 4 0.08472734499205087;
5 1 5 0.07201824324324324;
5 1 6 0.08331522257551668;
5 1 7 0.06919399841017489;
5 1 8 0.0677818759936407;
5 2 1 0.0589960254372019;
5 2 2 0.057655206677265494;
5 2 3 0.05363275039745628;
5 2 4 0.0750858505564388;
5 2 5 0.0589960254372019;
5 2 6 0.07240421303656598;
5 2 7 0.06838175675675676;
5 2 8 0.0750858505564388;
6 1 1 0.07008110095389508;
6 1 2 0.06722064785373608;
6 1 3 0.0657904213036566;
6 1 4 0.08295313990461049;
6 1 5 0.06865087440381558;
6 1 6 0.08295313990461049;
6 1 7 0.08009268680445152;
6 1 8 0.07008110095389508;
6 2 1 0.05432034976152623;
6 2 2 0.07604848966613673;
6 2 3 0.07604848966613673;
6 2 4 0.08148052464228935;
6 2 5 0.06790043720190779;
6 2 6 0.06382641096979332;
6 2 7 0.08012251589825119;
6 2 8 0.05432034976152623;
7 1 1 0.06589904610492846;
7 1 2 0.0988485691573927;
7 1 3 0.07743137917329093;
7 1 4 0.08237380763116058;
7 1 5 0.08402128378378379;
7 1 6 0.07907885532591415;
7 1 7 0.09720109300476948;
7 1 8 0.09061118839427663;
7 2 1 0.08134300476947535;
7 2 2 0.08134300476947535;
7 2 3 0.06882869634340222;
7 2 4 0.06570011923688393;
7 2 5 0.0719572734499205;
7 2 6 0.08447158187599363;
7 2 7 0.09229302464228933;
7 2 8 0.06413583068362479;
8 1 1 0.0705156001589825;
8 1 2 0.08943441971383148;
8 1 3 0.08255484896661368;
8 1 4 0.09975377583465818;
8 1 5 0.08943441971383148;
8 1 6 0.0963139904610493;
8 1 7 0.08255484896661368;
8 1 8 0.08599463434022257;
8 2 1 0.08818461844197138;
8 2 2 0.09471681240063591;
8 2 3 0.09634986089030205;
8 2 4 0.06858803656597773;
8 2 5 0.09471681240063591;
8 2 6 0.09308376391096979;
8 2 7 0.07348718203497615;
8 2 8 0.08001937599364069;
9 1 1 0.10360995627980922;
9 1 2 0.08429284578696343;
9 1 3 0.09658555246422894;
9 1 4 0.07902454292527822;
9 1 5 0.08429284578696343;
