###################################################
# Classe 2 : K = 2, M = 2, T = 8, N = 10
# Exemplo: 1.   c2ex01.dat          Semente: 3301
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 10

global L = [540, 460]

global l = [52, 58, 77, 85, 90, 120, 139, 140, 148, 149]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [14.04 11.96; 14.04 11.96]

global c_km = [48.6 29.44; 34.56 32.2]

global p_km = [5.006 3.032; 3.56 3.317]

global c_x = [
1 1 1 26.568;
1 1 2 26.568;
1 1 3 26.568;
1 1 4 26.568;
1 1 5 26.568;
1 1 6 26.568;
1 1 7 26.568;
1 1 8 26.568;
1 2 1 18.86;
1 2 2 18.86;
1 2 3 18.86;
1 2 4 18.86;
1 2 5 18.86;
1 2 6 18.86;
1 2 7 18.86;
1 2 8 18.86;
2 1 1 25.055;
2 1 2 25.055;
2 1 3 25.055;
2 1 4 25.055;
2 1 5 25.055;
2 1 6 25.055;
2 1 7 25.055;
2 1 8 25.055;
2 2 1 21.528;
2 2 2 21.528;
2 2 3 21.528;
2 2 4 21.528;
2 2 5 21.528;
2 2 6 21.528;
2 2 7 21.528;
2 2 8 21.528;
]

global c_z = [
1 1 1 1.196;
1 1 2 1.196;
1 1 3 1.196;
1 1 4 1.196;
1 1 5 1.196;
1 1 6 1.196;
1 1 7 1.196;
1 1 8 1.196;
1 2 1 0.566;
1 2 2 0.566;
1 2 3 0.566;
1 2 4 0.566;
1 2 5 0.566;
1 2 6 0.566;
1 2 7 0.566;
1 2 8 0.566;
2 1 1 1.027;
2 1 2 1.027;
2 1 3 1.027;
2 1 4 1.027;
2 1 5 1.027;
2 1 6 1.027;
2 1 7 1.027;
2 1 8 1.027;
2 2 1 0.99;
2 2 2 0.99;
2 2 3 0.99;
2 2 4 0.99;
2 2 5 0.99;
2 2 6 0.99;
2 2 7 0.99;
2 2 8 0.99;
]

global c_y = [
1 1 1 3.188;
1 1 2 3.188;
1 1 3 3.188;
1 1 4 3.188;
1 1 5 3.188;
1 1 6 3.188;
1 1 7 3.188;
1 1 8 3.188;
1 2 1 2.829;
1 2 2 2.829;
1 2 3 2.829;
1 2 4 2.829;
1 2 5 2.829;
1 2 6 2.829;
1 2 7 2.829;
1 2 8 2.829;
2 1 1 2.756;
2 1 2 2.756;
2 1 3 2.756;
2 1 4 2.756;
2 1 5 2.756;
2 1 6 2.756;
2 1 7 2.756;
2 1 8 2.756;
2 2 1 3.229;
2 2 2 3.229;
2 2 3 3.229;
2 2 4 3.229;
2 2 5 3.229;
2 2 6 3.229;
2 2 7 3.229;
2 2 8 3.229;
]

global c_sc = [
1 1 1 0.118;
1 1 2 0.118;
1 1 3 0.118;
1 1 4 0.118;
1 1 5 0.118;
1 1 6 0.118;
1 1 7 0.118;
1 1 8 0.118;
1 2 1 0.116;
1 2 2 0.116;
1 2 3 0.116;
1 2 4 0.116;
1 2 5 0.116;
1 2 6 0.116;
1 2 7 0.116;
1 2 8 0.116;
2 1 1 0.113;
2 1 2 0.113;
2 1 3 0.113;
2 1 4 0.113;
2 1 5 0.113;
2 1 6 0.113;
2 1 7 0.113;
2 1 8 0.113;
2 2 1 0.097;
2 2 2 0.097;
2 2 3 0.097;
2 2 4 0.097;
2 2 5 0.097;
2 2 6 0.097;
2 2 7 0.097;
2 2 8 0.097;
]

global c_w = [
1 1 1 0.638;
1 1 2 0.638;
1 1 3 0.638;
1 1 4 0.638;
1 1 5 0.638;
1 1 6 0.638;
1 1 7 0.638;
1 1 8 0.638;
1 2 1 0.415;
1 2 2 0.415;
1 2 3 0.415;
1 2 4 0.415;
1 2 5 0.415;
1 2 6 0.415;
1 2 7 0.415;
1 2 8 0.415;
2 1 1 0.401;
2 1 2 0.401;
2 1 3 0.401;
2 1 4 0.401;
2 1 5 0.401;
2 1 6 0.401;
2 1 7 0.401;
2 1 8 0.401;
2 2 1 0.258;
2 2 2 0.258;
2 2 3 0.258;
2 2 4 0.258;
2 2 5 0.258;
2 2 6 0.258;
2 2 7 0.258;
2 2 8 0.258;
]

global c_e = [
1 1 1 0.048967011128775835;
1 1 2 0.06202488076311605;
1 1 3 0.06528934817170111;
1 1 4 0.04461438791732909;
1 1 5 0.05223147853736089;
1 1 6 0.050055166931637515;
1 1 7 0.05767225755166932;
1 1 8 0.048967011128775835;
1 2 1 0.02860206677265501;
1 2 2 0.02792106518282989;
1 2 3 0.033369077901430844;
1 2 4 0.03949809220985691;
1 2 5 0.032007074721780604;
1 2 6 0.03473108108108108;
1 2 7 0.040860095389507155;
1 2 8 0.040179093799682035;
2 1 1 0.07160902225755165;
2 1 2 0.054617050874403814;
2 1 3 0.07039531001589824;
2 1 4 0.06796788553259142;
2 1 5 0.07282273449920508;
2 1 6 0.0606856120826709;
2 1 7 0.06554046104928457;
2 1 8 0.06432674880763116;
2 2 1 0.03797893481717011;
2 2 2 0.031902305246422895;
2 2 3 0.03645977742448331;
2 2 4 0.033421462639109695;
2 2 5 0.031142726550079488;
2 2 6 0.04329598569157392;
2 2 7 0.04405556438791733;
2 2 8 0.033421462639109695;
3 1 1 0.07089753577106518;
3 1 2 0.07895407392686803;
3 1 3 0.07734276629570747;
3 1 4 0.09345584260731318;
3 1 5 0.06928622813990461;
3 1 6 0.07895407392686803;
3 1 7 0.08539930445151032;
3 1 8 0.06445230524642288;
3 2 1 0.04638668521462639;
3 2 2 0.05546234101748808;
3 2 3 0.058487559618441966;
3 2 4 0.043361466613672496;
3 2 5 0.05243712241653418;
3 2 6 0.05042031001589825;
3 2 7 0.0403362480127186;
3 2 8 0.04537827901430842;
4 1 1 0.10494425675675674;
4 1 2 0.0782635135135135;
4 1 3 0.10672297297297297;
4 1 4 0.08715709459459459;
4 1 5 0.07114864864864864;
4 1 6 0.1013868243243243;
4 1 7 0.08537837837837836;
4 1 8 0.0782635135135135;
4 2 1 0.04897972972972973;
4 2 2 0.05899831081081081;
4 2 3 0.04897972972972973;
4 2 4 0.050092905405405404;
4 2 5 0.05454560810810811;
4 2 6 0.05677195945945946;
4 2 7 0.045640202702702706;
4 2 8 0.04897972972972973;
5 1 1 0.09040063593004767;
5 1 2 0.09228398251192368;
5 1 3 0.0866339427662957;
5 1 4 0.1111174483306836;
5 1 5 0.0866339427662957;
5 1 6 0.0866339427662957;
5 1 7 0.08286724960254371;
5 1 8 0.08286724960254371;
5 2 1 0.0553968600953895;
5 2 2 0.053039546899841014;
5 2 3 0.06600476947535772;
5 2 4 0.053039546899841014;
5 2 5 0.06600476947535772;
5 2 6 0.051860890302066774;
