###################################################
# Classe 20 : K = 6, M = 2, T = 8, N = 10
# Exemplo: 7.   Nome do arquivo: c20ex07.dat          Semente: 3006

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [52, 64, 71, 84, 92, 99, 119, 121, 128, 139] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.896;
1 1 2 22.896;
1 1 3 22.896;
1 1 4 22.896;
1 1 5 22.896;
1 1 6 22.896;
1 1 7 22.896;
1 1 8 22.896;
1 2 1 20.7;
1 2 2 20.7;
1 2 3 20.7;
1 2 4 20.7;
1 2 5 20.7;
1 2 6 20.7;
1 2 7 20.7;
1 2 8 20.7;
2 1 1 21.924;
2 1 2 21.924;
2 1 3 21.924;
2 1 4 21.924;
2 1 5 21.924;
2 1 6 21.924;
2 1 7 21.924;
2 1 8 21.924;
2 2 1 22.08;
2 2 2 22.08;
2 2 3 22.08;
2 2 4 22.08;
2 2 5 22.08;
2 2 6 22.08;
2 2 7 22.08;
2 2 8 22.08;
3 1 1 19.008;
3 1 2 19.008;
3 1 3 19.008;
3 1 4 19.008;
3 1 5 19.008;
3 1 6 19.008;
3 1 7 19.008;
3 1 8 19.008;
3 2 1 18.952;
3 2 2 18.952;
3 2 3 18.952;
3 2 4 18.952;
3 2 5 18.952;
3 2 6 18.952;
3 2 7 18.952;
3 2 8 18.952;
4 1 1 18.252;
4 1 2 18.252;
4 1 3 18.252;
4 1 4 18.252;
4 1 5 18.252;
4 1 6 18.252;
4 1 7 18.252;
4 1 8 18.252;
4 2 1 21.252;
4 2 2 21.252;
4 2 3 21.252;
4 2 4 21.252;
4 2 5 21.252;
4 2 6 21.252;
4 2 7 21.252;
4 2 8 21.252;
5 1 1 21.6;
5 1 2 21.6;
5 1 3 21.6;
5 1 4 21.6;
5 1 5 21.6;
5 1 6 21.6;
