###################################################
# Classe 21 : K = 6, M = 2, T = 8, N = 20
# Exemplo: 7.   Nome do arquivo: c21ex07.dat          Semente: 5000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [56, 56, 58, 66, 72, 80, 80, 84, 89, 90, 91, 93, 93, 101, 115, 117, 128, 137, 138, 149] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 23.976;
1 1 2 23.976;
1 1 3 23.976;
1 1 4 23.976;
1 1 5 23.976;
1 1 6 23.976;
1 1 7 23.976;
1 1 8 23.976;
1 2 1 16.836;
1 2 2 16.836;
1 2 3 16.836;
1 2 4 16.836;
1 2 5 16.836;
1 2 6 16.836;
1 2 7 16.836;
1 2 8 16.836;
2 1 1 21.168;
2 1 2 21.168;
2 1 3 21.168;
2 1 4 21.168;
2 1 5 21.168;
2 1 6 21.168;
2 1 7 21.168;
2 1 8 21.168;
2 2 1 21.62;
2 2 2 21.62;
2 2 3 21.62;
2 2 4 21.62;
2 2 5 21.62;
2 2 6 21.62;
2 2 7 21.62;
2 2 8 21.62;
3 1 1 26.892;
3 1 2 26.892;
3 1 3 26.892;
3 1 4 26.892;
3 1 5 26.892;
3 1 6 26.892;
3 1 7 26.892;
3 1 8 26.892;
3 2 1 21.436;
3 2 2 21.436;
3 2 3 21.436;
3 2 4 21.436;
3 2 5 21.436;
3 2 6 21.436;
3 2 7 21.436;
3 2 8 21.436;
4 1 1 22.68;
4 1 2 22.68;
4 1 3 22.68;
4 1 4 22.68;
4 1 5 22.68;
4 1 6 22.68;
4 1 7 22.68;
4 1 8 22.68;
4 2 1 20.976;
4 2 2 20.976;
4 2 3 20.976;
4 2 4 20.976;
4 2 5 20.976;
4 2 6 20.976;
4 2 7 20.976;
4 2 8 20.976;
5 1 1 19.548;
5 1 2 19.548;
5 1 3 19.548;
