###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 9.   Nome do arquivo: c1ex09.dat          Semente: 9192

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 64, 88, 110, 141] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 25.488;
1 1 2 25.488;
1 1 3 25.488;
1 1 4 25.488;
1 1 5 25.488;
1 1 6 25.488;
1 1 7 25.488;
1 1 8 25.488;
1 2 1 17.663;
1 2 2 17.663;
1 2 3 17.663;
1 2 4 17.663;
1 2 5 17.663;
1 2 6 17.663;
1 2 7 17.663;
1 2 8 17.663;
2 1 1 18.576;
2 1 2 18.576;
2 1 3 18.576;
2 1 4 18.576;
2 1 5 18.576;
2 1 6 18.576;
2 1 7 18.576;
2 1 8 18.576;
2 2 1 17.204;
2 2 2 17.204;
2 2 3 17.204;
2 2 4 17.204;
2 2 5 17.204;
2 2 6 17.204;
2 2 7 17.204;
2 2 8 17.204;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.011;
1 1 2 0.011;
1 1 3 0.011;
1 1 4 0.011;
1 1 5 0.011;
1 1 6 0.011;
1 1 7 0.011;
1 1 8 0.011;
1 2 1 0.009;
1 2 2 0.009;
1 2 3 0.009;
1 2 4 0.009;
1 2 5 0.009;
1 2 6 0.009;
1 2 7 0.009;
1 2 8 0.009;
2 1 1 0.008;
2 1 2 0.008;
2 1 3 0.008;
2 1 4 0.008;
2 1 5 0.008;
2 1 6 0.008;
2 1 7 0.008;
2 1 8 0.008;
2 2 1 0.007;
2 2 2 0.007;
2 2 3 0.007;
2 2 4 0.007;
2 2 5 0.007;
2 2 6 0.007;
2 2 7 0.007;
2 2 8 0.007;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 1.121;
1 1 2 1.121;
1 1 3 1.121;
1 1 4 1.121;
1 1 5 1.121;
1 1 6 1.121;
1 1 7 1.121;
1 1 8 1.121;
1 2 1 0.618;
1 2 2 0.618;
1 2 3 0.618;
1 2 4 0.618;
1 2 5 0.618;
1 2 6 0.618;
1 2 7 0.618;
1 2 8 0.618;
2 1 1 0.743;
2 1 2 0.743;
2 1 3 0.743;
2 1 4 0.743;
2 1 5 0.743;
2 1 6 0.743;
2 1 7 0.743;
2 1 8 0.743;
2 2 1 0.74;
2 2 2 0.74;
2 2 3 0.74;
2 2 4 0.74;
2 2 5 0.74;
2 2 6 0.74;
2 2 7 0.74;
2 2 8 0.74;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 3.823;
1 1 2 3.823;
1 1 3 3.823;
1 1 4 3.823;
1 1 5 3.823;
1 1 6 3.823;
1 1 7 3.823;
1 1 8 3.823;
1 2 1 1.943;
1 2 2 1.943;
1 2 3 1.943;
1 2 4 1.943;
1 2 5 1.943;
1 2 6 1.943;
1 2 7 1.943;
1 2 8 1.943;
2 1 1 2.229;
2 1 2 2.229;
2 1 3 2.229;
2 1 4 2.229;
2 1 5 2.229;
2 1 6 2.229;
2 1 7 2.229;
2 1 8 2.229;
2 2 1 1.892;
2 2 2 1.892;
2 2 3 1.892;
2 2 4 1.892;
2 2 5 1.892;
2 2 6 1.892;
2 2 7 1.892;
2 2 8 1.892;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.005;
1 1 2 0.005;
1 1 3 0.005;
1 1 4 0.005;
1 1 5 0.005;
1 1 6 0.005;
1 1 7 0.005;
1 1 8 0.005;
1 2 1 0.004;
1 2 2 0.004;
1 2 3 0.004;
1 2 4 0.004;
1 2 5 0.004;
1 2 6 0.004;
1 2 7 0.004;
1 2 8 0.004;
2 1 1 0.005;
2 1 2 0.005;
2 1 3 0.005;
2 1 4 0.005;
2 1 5 0.005;
2 1 6 0.005;
2 1 7 0.005;
2 1 8 0.005;
2 2 1 0.004;
2 2 2 0.004;
2 2 3 0.004;
2 2 4 0.004;
2 2 5 0.004;
2 2 6 0.004;
2 2 7 0.004;
2 2 8 0.004;
3 1 1 0.005;
3 1 2 0.005;
3 1 3 0.005;
3 1 4 0.005;
3 1 5 0.005;
3 1 6 0.005;
3 1 7 0.005;
3 1 8 0.005;
3 2 1 0.004;
3 2 2 0.004;
3 2 3 0.004;
3 2 4 0.004;
3 2 5 0.004;
3 2 6 0.004;
3 2 7 0.004;
3 2 8 0.004;
4 1 1 0.005;
4 1 2 0.005;
4 1 3 0.005;
4 1 4 0.005;
4 1 5 0.005;
4 1 6 0.005;
4 1 7 0.005;
4 1 8 0.005;
4 2 1 0.004;
4 2 2 0.004;
4 2 3 0.004;
4 2 4 0.004;
4 2 5 0.004;
4 2 6 0.004;
4 2 7 0.004;
4 2 8 0.004;
5 1 1 0.005;
5 1 2 0.005;
5 1 3 0.005;
5 1 4 0.005;
5 1 5 0.005;
5 1 6 0.005;
5 1 7 0.005;
5 1 8 0.005;
5 2 1 0.004;
