###################################################
# Classe 3 : K = 2, M = 2, T = 8, N = 20
# Exemplo: 7.   c3ex07.dat          Semente: 3548
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 20

global L = [540, 460]

global l = [50, 51, 52, 53, 62, 66, 67, 77, 80, 87, 88, 98, 99, 100, 129, 135, 142, 147, 149, 149]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [21.6 18.4; 21.6 18.4]

global c_km = [28.08 25.76; 41.04 26.68]

global p_km = [4.1 3.761; 5.992 3.895]

global c_x = [
1 1 1 22.248;
1 1 2 22.248;
1 1 3 22.248;
1 1 4 22.248;
1 1 5 22.248;
1 1 6 22.248;
1 1 7 22.248;
1 1 8 22.248;
1 2 1 14.351;
1 2 2 14.351;
1 2 3 14.351;
1 2 4 14.351;
1 2 5 14.351;
1 2 6 14.351;
1 2 7 14.351;
1 2 8 14.351;
2 1 1 21.708;
2 1 2 21.708;
2 1 3 21.708;
2 1 4 21.708;
2 1 5 21.708;
2 1 6 21.708;
2 1 7 21.708;
2 1 8 21.708;
2 2 1 21.896;
2 2 2 21.896;
2 2 3 21.896;
2 2 4 21.896;
2 2 5 21.896;
2 2 6 21.896;
2 2 7 21.896;
2 2 8 21.896;
]

global c_z = [
1 1 1 0.868;
1 1 2 0.868;
1 1 3 0.868;
1 1 4 0.868;
1 1 5 0.868;
1 1 6 0.868;
1 1 7 0.868;
1 1 8 0.868;
1 2 1 0.545;
1 2 2 0.545;
1 2 3 0.545;
1 2 4 0.545;
1 2 5 0.545;
1 2 6 0.545;
1 2 7 0.545;
1 2 8 0.545;
2 1 1 0.695;
2 1 2 0.695;
2 1 3 0.695;
2 1 4 0.695;
2 1 5 0.695;
2 1 6 0.695;
2 1 7 0.695;
2 1 8 0.695;
2 2 1 0.963;
2 2 2 0.963;
2 2 3 0.963;
2 2 4 0.963;
2 2 5 0.963;
2 2 6 0.963;
2 2 7 0.963;
2 2 8 0.963;
]

global c_y = [
1 1 1 2.892;
1 1 2 2.892;
1 1 3 2.892;
1 1 4 2.892;
1 1 5 2.892;
1 1 6 2.892;
1 1 7 2.892;
1 1 8 2.892;
1 2 1 2.009;
1 2 2 2.009;
1 2 3 2.009;
1 2 4 2.009;
1 2 5 2.009;
1 2 6 2.009;
1 2 7 2.009;
1 2 8 2.009;
2 1 1 2.605;
2 1 2 2.605;
2 1 3 2.605;
2 1 4 2.605;
2 1 5 2.605;
2 1 6 2.605;
2 1 7 2.605;
2 1 8 2.605;
2 2 1 2.846;
2 2 2 2.846;
2 2 3 2.846;
2 2 4 2.846;
2 2 5 2.846;
2 2 6 2.846;
2 2 7 2.846;
2 2 8 2.846;
]

global c_sc = [
1 1 1 0.136;
1 1 2 0.136;
1 1 3 0.136;
1 1 4 0.136;
1 1 5 0.136;
1 1 6 0.136;
1 1 7 0.136;
1 1 8 0.136;
1 2 1 0.062;
1 2 2 0.062;
1 2 3 0.062;
1 2 4 0.062;
1 2 5 0.062;
1 2 6 0.062;
1 2 7 0.062;
1 2 8 0.062;
2 1 1 0.104;
2 1 2 0.104;
2 1 3 0.104;
2 1 4 0.104;
2 1 5 0.104;
2 1 6 0.104;
2 1 7 0.104;
2 1 8 0.104;
2 2 1 0.139;
2 2 2 0.139;
2 2 3 0.139;
2 2 4 0.139;
2 2 5 0.139;
2 2 6 0.139;
2 2 7 0.139;
2 2 8 0.139;
]

global c_w = [
1 1 1 0.667;
1 1 2 0.667;
1 1 3 0.667;
1 1 4 0.667;
1 1 5 0.667;
1 1 6 0.667;
1 1 7 0.667;
1 1 8 0.667;
1 2 1 0.359;
1 2 2 0.359;
1 2 3 0.359;
1 2 4 0.359;
1 2 5 0.359;
1 2 6 0.359;
1 2 7 0.359;
1 2 8 0.359;
2 1 1 0.369;
2 1 2 0.369;
2 1 3 0.369;
2 1 4 0.369;
2 1 5 0.369;
2 1 6 0.369;
2 1 7 0.369;
2 1 8 0.369;
2 2 1 0.482;
2 2 2 0.482;
2 2 3 0.482;
2 2 4 0.482;
2 2 5 0.482;
2 2 6 0.482;
2 2 7 0.482;
2 2 8 0.482;
]

global c_e = [
1 1 1 0.04077901430842607;
1 1 2 0.0591295707472178;
1 1 3 0.04791534181240063;
1 1 4 0.04485691573926868;
1 1 5 0.06116852146263911;
1 1 6 0.05709062003179651;
1 1 7 0.04077901430842607;
1 1 8 0.042817965023847375;
1 2 1 0.03805147058823529;
1 2 2 0.05073529411764706;
