###################################################
# Classe 11 : K = 4, M = 2, T = 8, N = 10
# Exemplo: 10.   Nome do arquivo: c11ex10.dat          Semente: 5372

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [53, 71, 76, 95, 102, 102, 110, 117, 131, 145] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 16.308;
1 1 2 16.308;
1 1 3 16.308;
1 1 4 16.308;
1 1 5 16.308;
1 1 6 16.308;
1 1 7 16.308;
1 1 8 16.308;
1 2 1 18.124;
1 2 2 18.124;
1 2 3 18.124;
1 2 4 18.124;
1 2 5 18.124;
1 2 6 18.124;
1 2 7 18.124;
1 2 8 18.124;
2 1 1 23.544;
2 1 2 23.544;
2 1 3 23.544;
2 1 4 23.544;
2 1 5 23.544;
2 1 6 23.544;
2 1 7 23.544;
2 1 8 23.544;
2 2 1 21.804;
2 2 2 21.804;
2 2 3 21.804;
2 2 4 21.804;
2 2 5 21.804;
2 2 6 21.804;
2 2 7 21.804;
2 2 8 21.804;
3 1 1 17.928;
3 1 2 17.928;
3 1 3 17.928;
3 1 4 17.928;
3 1 5 17.928;
3 1 6 17.928;
3 1 7 17.928;
3 1 8 17.928;
3 2 1 20.7;
3 2 2 20.7;
3 2 3 20.7;
3 2 4 20.7;
3 2 5 20.7;
3 2 6 20.7;
3 2 7 20.7;
3 2 8 20.7;
4 1 1 26.244;
4 1 2 26.244;
4 1 3 26.244;
4 1 4 26.244;
4 1 5 26.244;
4 1 6 26.244;
4 1 7 26.244;
4 1 8 26.244;
4 2 1 13.799;
4 2 2 13.799;
4 2 3 13.799;
4 2 4 13.799;
4 2 5 13.799;
4 2 6 13.799;
4 2 7 13.799;
4 2 8 13.799;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.009;
1 1 2 0.009;
1 1 3 0.009;
1 1 4 0.009;
1 1 5 0.009;
1 1 6 0.009;
