###################################################
# Classe 19 : K = 6, M = 2, T = 8, N = 5
# Exemplo: 5.   Nome do arquivo: c19ex05.dat          Semente: 9789

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 87, 110, 121, 147] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 24.516;
1 1 2 24.516;
1 1 3 24.516;
1 1 4 24.516;
1 1 5 24.516;
1 1 6 24.516;
1 1 7 24.516;
1 1 8 24.516;
1 2 1 20.516;
1 2 2 20.516;
1 2 3 20.516;
1 2 4 20.516;
1 2 5 20.516;
1 2 6 20.516;
1 2 7 20.516;
1 2 8 20.516;
2 1 1 19.439;
2 1 2 19.439;
2 1 3 19.439;
2 1 4 19.439;
2 1 5 19.439;
2 1 6 19.439;
2 1 7 19.439;
2 1 8 19.439;
2 2 1 18.308;
2 2 2 18.308;
2 2 3 18.308;
2 2 4 18.308;
2 2 5 18.308;
2 2 6 18.308;
2 2 7 18.308;
2 2 8 18.308;
3 1 1 23.976;
3 1 2 23.976;
3 1 3 23.976;
3 1 4 23.976;
3 1 5 23.976;
3 1 6 23.976;
3 1 7 23.976;
3 1 8 23.976;
3 2 1 14.443;
3 2 2 14.443;
3 2 3 14.443;
3 2 4 14.443;
3 2 5 14.443;
3 2 6 14.443;
3 2 7 14.443;
3 2 8 14.443;
4 1 1 20.628;
4 1 2 20.628;
4 1 3 20.628;
4 1 4 20.628;
4 1 5 20.628;
4 1 6 20.628;
4 1 7 20.628;
4 1 8 20.628;
4 2 1 19.504;
4 2 2 19.504;
4 2 3 19.504;
4 2 4 19.504;
4 2 5 19.504;
4 2 6 19.504;
4 2 7 19.504;
4 2 8 19.504;
5 1 1 18.791;
5 1 2 18.791;
5 1 3 18.791;
5 1 4 18.791;
5 1 5 18.791;
5 1 6 18.791;
5 1 7 18.791;
