###################################################
# Classe 17 : K = 4, M = 2, T = 12, N = 10
# Exemplo: 6.   Nome do arquivo: c17ex06.dat          Semente: 1534

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [62, 63, 78, 79, 99, 124, 136, 140, 141, 150] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.464;
1 1 2 22.464;
1 1 3 22.464;
1 1 4 22.464;
1 1 5 22.464;
1 1 6 22.464;
1 1 7 22.464;
1 1 8 22.464;
1 1 9 22.464;
1 1 10 22.464;
1 1 11 22.464;
1 1 12 22.464;
1 2 1 15.547;
1 2 2 15.547;
1 2 3 15.547;
1 2 4 15.547;
1 2 5 15.547;
1 2 6 15.547;
1 2 7 15.547;
1 2 8 15.547;
1 2 9 15.547;
1 2 10 15.547;
1 2 11 15.547;
1 2 12 15.547;
2 1 1 18.035;
2 1 2 18.035;
2 1 3 18.035;
2 1 4 18.035;
2 1 5 18.035;
2 1 6 18.035;
2 1 7 18.035;
2 1 8 18.035;
2 1 9 18.035;
2 1 10 18.035;
2 1 11 18.035;
2 1 12 18.035;
2 2 1 18.952;
2 2 2 18.952;
2 2 3 18.952;
2 2 4 18.952;
2 2 5 18.952;
2 2 6 18.952;
2 2 7 18.952;
2 2 8 18.952;
2 2 9 18.952;
2 2 10 18.952;
2 2 11 18.952;
2 2 12 18.952;
3 1 1 26.352;
3 1 2 26.352;
3 1 3 26.352;
3 1 4 26.352;
3 1 5 26.352;
3 1 6 26.352;
3 1 7 26.352;
3 1 8 26.352;
3 1 9 26.352;
3 1 10 26.352;
3 1 11 26.352;
3 1 12 26.352;
3 2 1 18.584;
3 2 2 18.584;
3 2 3 18.584;
3 2 4 18.584;
3 2 5 18.584;
3 2 6 18.584;
3 2 7 18.584;
3 2 8 18.584;
3 2 9 18.584;
3 2 10 18.584;
3 2 11 18.584;
3 2 12 18.584;
4 1 1 20.628;
