###################################################
# Classe 16 : K = 4, M = 2, T = 12, N = 5
# Exemplo: 5.   Nome do arquivo: c16ex05.dat          Semente: 2735

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 93, 110, 111, 138] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.032;
1 1 2 22.032;
1 1 3 22.032;
1 1 4 22.032;
1 1 5 22.032;
1 1 6 22.032;
1 1 7 22.032;
1 1 8 22.032;
1 1 9 22.032;
1 1 10 22.032;
1 1 11 22.032;
1 1 12 22.032;
1 2 1 22.448;
1 2 2 22.448;
1 2 3 22.448;
1 2 4 22.448;
1 2 5 22.448;
1 2 6 22.448;
1 2 7 22.448;
1 2 8 22.448;
1 2 9 22.448;
1 2 10 22.448;
1 2 11 22.448;
1 2 12 22.448;
2 1 1 21.06;
2 1 2 21.06;
2 1 3 21.06;
2 1 4 21.06;
2 1 5 21.06;
2 1 6 21.06;
2 1 7 21.06;
2 1 8 21.06;
2 1 9 21.06;
2 1 10 21.06;
2 1 11 21.06;
2 1 12 21.06;
2 2 1 18.308;
2 2 2 18.308;
2 2 3 18.308;
2 2 4 18.308;
2 2 5 18.308;
2 2 6 18.308;
2 2 7 18.308;
2 2 8 18.308;
2 2 9 18.308;
2 2 10 18.308;
2 2 11 18.308;
2 2 12 18.308;
3 1 1 20.087;
3 1 2 20.087;
3 1 3 20.087;
3 1 4 20.087;
3 1 5 20.087;
3 1 6 20.087;
3 1 7 20.087;
3 1 8 20.087;
3 1 9 20.087;
3 1 10 20.087;
3 1 11 20.087;
3 1 12 20.087;
3 2 1 20.976;
3 2 2 20.976;
3 2 3 20.976;
3 2 4 20.976;
3 2 5 20.976;
3 2 6 20.976;
3 2 7 20.976;
3 2 8 20.976;
3 2 9 20.976;
3 2 10 20.976;
3 2 11 20.976;
3 2 12 20.976;
4 1 1 16.848;
4 1 2 16.848;
