###################################################
# Classe 10 : K = 4, M = 2, T = 8, N = 5
# Exemplo: 5.   Nome do arquivo: c10ex05.dat          Semente: 2000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [98, 121, 130, 145, 150] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 26.136;
1 1 2 26.136;
1 1 3 26.136;
1 1 4 26.136;
1 1 5 26.136;
1 1 6 26.136;
1 1 7 26.136;
1 1 8 26.136;
1 2 1 16.56;
1 2 2 16.56;
1 2 3 16.56;
1 2 4 16.56;
1 2 5 16.56;
1 2 6 16.56;
1 2 7 16.56;
1 2 8 16.56;
2 1 1 24.732;
2 1 2 24.732;
2 1 3 24.732;
2 1 4 24.732;
2 1 5 24.732;
2 1 6 24.732;
2 1 7 24.732;
2 1 8 24.732;
2 2 1 22.54;
2 2 2 22.54;
2 2 3 22.54;
2 2 4 22.54;
2 2 5 22.54;
2 2 6 22.54;
2 2 7 22.54;
2 2 8 22.54;
3 1 1 19.548;
3 1 2 19.548;
3 1 3 19.548;
3 1 4 19.548;
3 1 5 19.548;
3 1 6 19.548;
3 1 7 19.548;
3 1 8 19.548;
3 2 1 21.528;
3 2 2 21.528;
3 2 3 21.528;
3 2 4 21.528;
3 2 5 21.528;
3 2 6 21.528;
3 2 7 21.528;
3 2 8 21.528;
4 1 1 22.464;
4 1 2 22.464;
4 1 3 22.464;
4 1 4 22.464;
4 1 5 22.464;
4 1 6 22.464;
4 1 7 22.464;
4 1 8 22.464;
4 2 1 15.547;
4 2 2 15.547;
4 2 3 15.547;
4 2 4 15.547;
4 2 5 15.547;
4 2 6 15.547;
4 2 7 15.547;
4 2 8 15.547;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.01;
1 1 2 0.01;
1 1 3 0.01;
1 1 4 0.01;
1 1 5 0.01;
1 1 6 0.01;
1 1 7 0.01;
