###################################################
# Classe 18 : K = 4, M = 2, T = 12, N = 20
# Exemplo: 9.   c18ex09.dat          Semente: 4999
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 12
global N = 20

global L = [540, 460]

global l = [59, 68, 69, 70, 73, 77, 82, 86, 96, 96, 96, 106, 111, 113, 115, 123, 125, 135, 139, 141]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [32.4 27.6; 32.4 27.6; 32.4 27.6; 32.4 27.6]

global c_km = [44.28 42.32; 51.84 26.68; 38.88 34.04; 52.92 33.12]

global p_km = [5.181 4.951; 6.065 3.122; 4.549 3.983; 6.192 3.875]

global c_x = [
1 1 1 23.868;
1 1 2 23.868;
1 1 3 23.868;
1 1 4 23.868;
1 1 5 23.868;
1 1 6 23.868;
1 1 7 23.868;
1 1 8 23.868;
1 1 9 23.868;
1 1 10 23.868;
1 1 11 23.868;
1 1 12 23.868;
1 2 1 22.907;
1 2 2 22.907;
1 2 3 22.907;
1 2 4 22.907;
1 2 5 22.907;
1 2 6 22.907;
1 2 7 22.907;
1 2 8 22.907;
1 2 9 22.907;
1 2 10 22.907;
1 2 11 22.907;
1 2 12 22.907;
2 1 1 21.708;
2 1 2 21.708;
2 1 3 21.708;
2 1 4 21.708;
2 1 5 21.708;
2 1 6 21.708;
2 1 7 21.708;
2 1 8 21.708;
2 1 9 21.708;
2 1 10 21.708;
2 1 11 21.708;
2 1 12 21.708;
2 2 1 18.584;
2 2 2 18.584;
2 2 3 18.584;
2 2 4 18.584;
2 2 5 18.584;
2 2 6 18.584;
2 2 7 18.584;
2 2 8 18.584;
2 2 9 18.584;
2 2 10 18.584;
2 2 11 18.584;
2 2 12 18.584;
3 1 1 18.252;
3 1 2 18.252;
3 1 3 18.252;
3 1 4 18.252;
3 1 5 18.252;
3 1 6 18.252;
3 1 7 18.252;
3 1 8 18.252;
3 1 9 18.252;
3 1 10 18.252;
3 1 11 18.252;
3 1 12 18.252;
3 2 1 14.168;
3 2 2 14.168;
3 2 3 14.168;
3 2 4 14.168;
3 2 5 14.168;
3 2 6 14.168;
3 2 7 14.168;
3 2 8 14.168;
3 2 9 14.168;
3 2 10 14.168;
3 2 11 14.168;
3 2 12 14.168;
4 1 1 16.416;
4 1 2 16.416;
4 1 3 16.416;
4 1 4 16.416;
4 1 5 16.416;
4 1 6 16.416;
4 1 7 16.416;
4 1 8 16.416;
4 1 9 16.416;
4 1 10 16.416;
4 1 11 16.416;
4 1 12 16.416;
4 2 1 15.456;
4 2 2 15.456;
4 2 3 15.456;
4 2 4 15.456;
4 2 5 15.456;
4 2 6 15.456;
4 2 7 15.456;
4 2 8 15.456;
4 2 9 15.456;
4 2 10 15.456;
4 2 11 15.456;
4 2 12 15.456;
]

global c_z = [
1 1 1 1.098;
1 1 2 1.098;
1 1 3 1.098;
1 1 4 1.098;
1 1 5 1.098;
1 1 6 1.098;
1 1 7 1.098;
1 1 8 1.098;
1 1 9 1.098;
1 1 10 1.098;
1 1 11 1.098;
1 1 12 1.098;
1 2 1 0.962;
1 2 2 0.962;
1 2 3 0.962;
1 2 4 0.962;
1 2 5 0.962;
1 2 6 0.962;
1 2 7 0.962;
1 2 8 0.962;
1 2 9 0.962;
1 2 10 0.962;
1 2 11 0.962;
1 2 12 0.962;
2 1 1 0.673;
2 1 2 0.673;
2 1 3 0.673;
2 1 4 0.673;
2 1 5 0.673;
2 1 6 0.673;
2 1 7 0.673;
2 1 8 0.673;
2 1 9 0.673;
2 1 10 0.673;
2 1 11 0.673;
2 1 12 0.673;
2 2 1 0.873;
2 2 2 0.873;
2 2 3 0.873;
2 2 4 0.873;
2 2 5 0.873;
