###################################################
# Classe 18 : K = 4, M = 2, T = 12, N = 20
# Exemplo: 3.   Nome do arquivo: c18ex03.dat          Semente: 6000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [64, 76, 79, 81, 84, 90, 92, 97, 109, 110, 111, 122, 131, 134, 137, 139, 142, 143, 146, 149] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.087;
1 1 2 20.087;
1 1 3 20.087;
1 1 4 20.087;
1 1 5 20.087;
1 1 6 20.087;
1 1 7 20.087;
1 1 8 20.087;
1 1 9 20.087;
1 1 10 20.087;
1 1 11 20.087;
1 1 12 20.087;
1 2 1 22.08;
1 2 2 22.08;
1 2 3 22.08;
1 2 4 22.08;
1 2 5 22.08;
1 2 6 22.08;
1 2 7 22.08;
1 2 8 22.08;
1 2 9 22.08;
1 2 10 22.08;
1 2 11 22.08;
1 2 12 22.08;
2 1 1 22.248;
2 1 2 22.248;
2 1 3 22.248;
2 1 4 22.248;
2 1 5 22.248;
2 1 6 22.248;
2 1 7 22.248;
2 1 8 22.248;
2 1 9 22.248;
2 1 10 22.248;
2 1 11 22.248;
2 1 12 22.248;
2 2 1 13.984;
2 2 2 13.984;
2 2 3 13.984;
2 2 4 13.984;
2 2 5 13.984;
2 2 6 13.984;
2 2 7 13.984;
2 2 8 13.984;
2 2 9 13.984;
2 2 10 13.984;
2 2 11 13.984;
2 2 12 13.984;
3 1 1 18.035;
3 1 2 18.035;
3 1 3 18.035;
3 1 4 18.035;
3 1 5 18.035;
3 1 6 18.035;
3 1 7 18.035;
3 1 8 18.035;
3 1 9 18.035;
3 1 10 18.035;
3 1 11 18.035;
3 1 12 18.035;
3 2 1 18.86;
3 2 2 18.86;
3 2 3 18.86;
3 2 4 18.86;
3 2 5 18.86;
3 2 6 18.86;
3 2 7 18.86;
3 2 8 18.86;
3 2 9 18.86;
3 2 10 18.86;
