###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 2.   Nome do arquivo: c1ex02.dat          Semente: 3677

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 65, 73, 77, 127] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 21.06;
1 1 2 21.06;
1 1 3 21.06;
1 1 4 21.06;
1 1 5 21.06;
1 1 6 21.06;
1 1 7 21.06;
1 1 8 21.06;
1 2 1 18.768;
1 2 2 18.768;
1 2 3 18.768;
1 2 4 18.768;
1 2 5 18.768;
1 2 6 18.768;
1 2 7 18.768;
1 2 8 18.768;
2 1 1 21.708;
2 1 2 21.708;
2 1 3 21.708;
2 1 4 21.708;
2 1 5 21.708;
2 1 6 21.708;
2 1 7 21.708;
2 1 8 21.708;
2 2 1 19.964;
2 2 2 19.964;
2 2 3 19.964;
2 2 4 19.964;
2 2 5 19.964;
2 2 6 19.964;
2 2 7 19.964;
2 2 8 19.964;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.011;
1 1 2 0.011;
1 1 3 0.011;
1 1 4 0.011;
1 1 5 0.011;
1 1 6 0.011;
1 1 7 0.011;
1 1 8 0.011;
1 2 1 0.009;
1 2 2 0.009;
1 2 3 0.009;
1 2 4 0.009;
1 2 5 0.009;
1 2 6 0.009;
1 2 7 0.009;
1 2 8 0.009;
2 1 1 0.012;
2 1 2 0.012;
2 1 3 0.012;
2 1 4 0.012;
2 1 5 0.012;
2 1 6 0.012;
2 1 7 0.012;
2 1 8 0.012;
2 2 1 0.01;
2 2 2 0.01;
2 2 3 0.01;
2 2 4 0.01;
2 2 5 0.01;
2 2 6 0.01;
2 2 7 0.01;
2 2 8 0.01;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 0.695;
1 1 2 0.695;
1 1 3 0.695;
1 1 4 0.695;
1 1 5 0.695;
1 1 6 0.695;
1 1 7 0.695;
1 1 8 0.695;
1 2 1 0.901;
1 2 2 0.901;
1 2 3 0.901;
1 2 4 0.901;
1 2 5 0.901;
1 2 6 0.901;
1 2 7 0.901;
1 2 8 0.901;
2 1 1 0.868;
2 1 2 0.868;
2 1 3 0.868;
2 1 4 0.868;
2 1 5 0.868;
2 1 6 0.868;
2 1 7 0.868;
2 1 8 0.868;
2 2 1 0.659;
2 2 2 0.659;
2 2 3 0.659;
2 2 4 0.659;
2 2 5 0.659;
2 2 6 0.659;
2 2 7 0.659;
2 2 8 0.659;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 3.159;
1 1 2 3.159;
1 1 3 3.159;
1 1 4 3.159;
1 1 5 3.159;
1 1 6 3.159;
1 1 7 3.159;
1 1 8 3.159;
1 2 1 2.628;
1 2 2 2.628;
1 2 3 2.628;
1 2 4 2.628;
1 2 5 2.628;
1 2 6 2.628;
1 2 7 2.628;
1 2 8 2.628;
2 1 1 2.605;
2 1 2 2.605;
2 1 3 2.605;
2 1 4 2.605;
2 1 5 2.605;
2 1 6 2.605;
2 1 7 2.605;
2 1 8 2.605;
2 2 1 2.196;
2 2 2 2.196;
2 2 3 2.196;
2 2 4 2.196;
2 2 5 2.196;
2 2 6 2.196;
2 2 7 2.196;
2 2 8 2.196;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.005;
1 1 2 0.005;
1 1 3 0.005;
1 1 4 0.005;
1 1 5 0.005;
1 1 6 0.005;
1 1 7 0.005;
1 1 8 0.005;
1 2 1 0.006;
1 2 2 0.006;
1 2 3 0.006;
1 2 4 0.006;
1 2 5 0.006;
1 2 6 0.006;
1 2 7 0.006;
1 2 8 0.006;
2 1 1 0.005;
2 1 2 0.005;
2 1 3 0.005;
2 1 4 0.005;
2 1 5 0.005;
2 1 6 0.005;
2 1 7 0.005;
2 1 8 0.005;
2 2 1 0.006;
2 2 2 0.006;
2 2 3 0.006;
2 2 4 0.006;
2 2 5 0.006;
2 2 6 0.006;
2 2 7 0.006;
2 2 8 0.006;
3 1 1 0.005;
3 1 2 0.005;
3 1 3 0.005;
3 1 4 0.005;
3 1 5 0.005;
3 1 6 0.005;
3 1 7 0.005;
3 1 8 0.005;
3 2 1 0.006;
3 2 2 0.006;
3 2 3 0.006;
3 2 4 0.006;
3 2 5 0.006;
3 2 6 0.006;
3 2 7 0.006;
3 2 8 0.006;
4 1 1 0.005;
4 1 2 0.005;
4 1 3 0.005;
4 1 4 0.005;
4 1 5 0.005;
4 1 6 0.005;
4 1 7 0.005;
4 1 8 0.005;
4 2 1 0.006;
4 2 2 0.006;
4 2 3 0.006;
4 2 4 0.006;
4 2 5 0.006;
4 2 6 0.006;
4 2 7 0.006;
4 2 8 0.006;
5 1 1 0.005;
5 1 2 0.005;
5 1 3 0.005;
5 1 4 0.005;
5 1 5 0.005;
5 1 6 0.005;
5 1 7 0.005;
5 1 8 0.005;
5 2 1 0.006;
