###################################################
# Classe 25 : K = 6, M = 2, T = 12, N = 5
# Exemplo: 6.   Nome do arquivo: c25ex06.dat          Semente: 1033

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [69, 91, 115, 137, 144] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.735;
1 1 2 20.735;
1 1 3 20.735;
1 1 4 20.735;
1 1 5 20.735;
1 1 6 20.735;
1 1 7 20.735;
1 1 8 20.735;
1 1 9 20.735;
1 1 10 20.735;
1 1 11 20.735;
1 1 12 20.735;
1 2 1 18.86;
1 2 2 18.86;
1 2 3 18.86;
1 2 4 18.86;
1 2 5 18.86;
1 2 6 18.86;
1 2 7 18.86;
1 2 8 18.86;
1 2 9 18.86;
1 2 10 18.86;
1 2 11 18.86;
1 2 12 18.86;
2 1 1 18.36;
2 1 2 18.36;
2 1 3 18.36;
2 1 4 18.36;
2 1 5 18.36;
2 1 6 18.36;
2 1 7 18.36;
2 1 8 18.36;
2 1 9 18.36;
2 1 10 18.36;
2 1 11 18.36;
2 1 12 18.36;
2 2 1 16.283;
2 2 2 16.283;
2 2 3 16.283;
2 2 4 16.283;
2 2 5 16.283;
2 2 6 16.283;
2 2 7 16.283;
2 2 8 16.283;
2 2 9 16.283;
2 2 10 16.283;
2 2 11 16.283;
2 2 12 16.283;
3 1 1 21.384;
3 1 2 21.384;
3 1 3 21.384;
3 1 4 21.384;
3 1 5 21.384;
3 1 6 21.384;
3 1 7 21.384;
3 1 8 21.384;
3 1 9 21.384;
3 1 10 21.384;
3 1 11 21.384;
3 1 12 21.384;
3 2 1 16.283;
3 2 2 16.283;
3 2 3 16.283;
3 2 4 16.283;
3 2 5 16.283;
3 2 6 16.283;
3 2 7 16.283;
3 2 8 16.283;
3 2 9 16.283;
3 2 10 16.283;
3 2 11 16.283;
