###################################################
# Classe 12 : K = 4, M = 2, T = 8, N = 20
# Exemplo: 7.   Nome do arquivo: c12ex07.dat          Semente: 7763

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [57, 65, 69, 71, 76, 85, 87, 90, 96, 97, 98, 98, 102, 106, 109, 124, 132, 137, 139, 140] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 17.82;
1 1 2 17.82;
1 1 3 17.82;
1 1 4 17.82;
1 1 5 17.82;
1 1 6 17.82;
1 1 7 17.82;
1 1 8 17.82;
1 2 1 16.56;
1 2 2 16.56;
1 2 3 16.56;
1 2 4 16.56;
1 2 5 16.56;
1 2 6 16.56;
1 2 7 16.56;
1 2 8 16.56;
2 1 1 21.924;
2 1 2 21.924;
2 1 3 21.924;
2 1 4 21.924;
2 1 5 21.924;
2 1 6 21.924;
2 1 7 21.924;
2 1 8 21.924;
2 2 1 20.332;
2 2 2 20.332;
2 2 3 20.332;
2 2 4 20.332;
2 2 5 20.332;
2 2 6 20.332;
2 2 7 20.332;
2 2 8 20.332;
3 1 1 26.676;
3 1 2 26.676;
3 1 3 26.676;
3 1 4 26.676;
3 1 5 26.676;
3 1 6 26.676;
3 1 7 26.676;
3 1 8 26.676;
3 2 1 15.456;
3 2 2 15.456;
3 2 3 15.456;
3 2 4 15.456;
3 2 5 15.456;
3 2 6 15.456;
3 2 7 15.456;
3 2 8 15.456;
4 1 1 26.244;
4 1 2 26.244;
4 1 3 26.244;
4 1 4 26.244;
4 1 5 26.244;
4 1 6 26.244;
4 1 7 26.244;
4 1 8 26.244;
4 2 1 14.628;
4 2 2 14.628;
4 2 3 14.628;
4 2 4 14.628;
4 2 5 14.628;
4 2 6 14.628;
4 2 7 14.628;
4 2 8 14.628;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.009;
1 1 2 0.009;
1 1 3 0.009;
