###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 6.   Nome do arquivo: c14ex06.dat          Semente: 1500

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 10 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [55, 82, 83, 103, 105, 119, 128, 138, 138, 147] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 18.36;
1 1 2 18.36;
1 1 3 18.36;
1 1 4 18.36;
1 1 5 18.36;
1 1 6 18.36;
1 1 7 18.36;
1 1 8 18.36;
1 1 9 18.36;
1 1 10 18.36;
1 2 1 14.168;
1 2 2 14.168;
1 2 3 14.168;
1 2 4 14.168;
1 2 5 14.168;
1 2 6 14.168;
1 2 7 14.168;
1 2 8 14.168;
1 2 9 14.168;
1 2 10 14.168;
2 1 1 17.82;
2 1 2 17.82;
2 1 3 17.82;
2 1 4 17.82;
2 1 5 17.82;
2 1 6 17.82;
2 1 7 17.82;
2 1 8 17.82;
2 1 9 17.82;
2 1 10 17.82;
2 2 1 18.124;
2 2 2 18.124;
2 2 3 18.124;
2 2 4 18.124;
2 2 5 18.124;
2 2 6 18.124;
2 2 7 18.124;
2 2 8 18.124;
2 2 9 18.124;
2 2 10 18.124;
3 1 1 24.192;
3 1 2 24.192;
3 1 3 24.192;
3 1 4 24.192;
3 1 5 24.192;
3 1 6 24.192;
3 1 7 24.192;
3 1 8 24.192;
3 1 9 24.192;
3 1 10 24.192;
3 2 1 16.928;
3 2 2 16.928;
3 2 3 16.928;
3 2 4 16.928;
3 2 5 16.928;
3 2 6 16.928;
3 2 7 16.928;
3 2 8 16.928;
3 2 9 16.928;
3 2 10 16.928;
4 1 1 18.36;
4 1 2 18.36;
4 1 3 18.36;
4 1 4 18.36;
4 1 5 18.36;
4 1 6 18.36;
4 1 7 18.36;
4 1 8 18.36;
4 1 9 18.36;
4 1 10 18.36;
4 2 1 16.56;
4 2 2 16.56;
4 2 3 16.56;
