###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 7.   c14ex07.dat          Semente: 5000
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [56, 56, 88, 90, 93, 101, 116, 136, 138, 148]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [29.16 24.84; 29.16 24.84; 29.16 24.84; 29.16 24.84]

global c_km = [47.52 27.6; 27.0 20.24; 28.08 29.44; 43.2 26.68]

global p_km = [5.465 3.174; 3.105 2.328; 3.229 3.386; 4.968 3.068]

global c_x = [
1 1 1 25.164;
1 1 2 25.164;
1 1 3 25.164;
1 1 4 25.164;
1 1 5 25.164;
1 1 6 25.164;
1 1 7 25.164;
1 1 8 25.164;
1 1 9 25.164;
1 1 10 25.164;
1 2 1 19.32;
1 2 2 19.32;
1 2 3 19.32;
1 2 4 19.32;
1 2 5 19.32;
1 2 6 19.32;
1 2 7 19.32;
1 2 8 19.32;
1 2 9 19.32;
1 2 10 19.32;
2 1 1 23.976;
2 1 2 23.976;
2 1 3 23.976;
2 1 4 23.976;
2 1 5 23.976;
2 1 6 23.976;
2 1 7 23.976;
2 1 8 23.976;
2 1 9 23.976;
2 1 10 23.976;
2 2 1 16.652;
2 2 2 16.652;
2 2 3 16.652;
2 2 4 16.652;
2 2 5 16.652;
2 2 6 16.652;
2 2 7 16.652;
2 2 8 16.652;
2 2 9 16.652;
2 2 10 16.652;
3 1 1 21.168;
3 1 2 21.168;
3 1 3 21.168;
3 1 4 21.168;
3 1 5 21.168;
3 1 6 21.168;
3 1 7 21.168;
3 1 8 21.168;
3 1 9 21.168;
3 1 10 21.168;
3 2 1 20.791;
3 2 2 20.791;
3 2 3 20.791;
3 2 4 20.791;
3 2 5 20.791;
3 2 6 20.791;
3 2 7 20.791;
3 2 8 20.791;
3 2 9 20.791;
3 2 10 20.791;
4 1 1 26.892;
4 1 2 26.892;
4 1 3 26.892;
4 1 4 26.892;
4 1 5 26.892;
4 1 6 26.892;
4 1 7 26.892;
4 1 8 26.892;
4 1 9 26.892;
4 1 10 26.892;
4 2 1 16.836;
4 2 2 16.836;
4 2 3 16.836;
4 2 4 16.836;
4 2 5 16.836;
4 2 6 16.836;
4 2 7 16.836;
4 2 8 16.836;
4 2 9 16.836;
4 2 10 16.836;
]

global c_z = [
1 1 1 1.183;
1 1 2 1.183;
1 1 3 1.183;
1 1 4 1.183;
1 1 5 1.183;
1 1 6 1.183;
1 1 7 1.183;
1 1 8 1.183;
1 1 9 1.183;
1 1 10 1.183;
1 2 1 0.657;
1 2 2 0.657;
1 2 3 0.657;
1 2 4 0.657;
1 2 5 0.657;
1 2 6 0.657;
1 2 7 0.657;
1 2 8 0.657;
1 2 9 0.657;
1 2 10 0.657;
2 1 1 1.127;
2 1 2 1.127;
2 1 3 1.127;
2 1 4 1.127;
2 1 5 1.127;
2 1 6 1.127;
2 1 7 1.127;
2 1 8 1.127;
2 1 9 1.127;
2 1 10 1.127;
