###################################################
# Classe 7 : K = 2, M = 2, T = 12, N = 5
# Exemplo: 3.   c7ex03.dat          Semente: 6548
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 12
global N = 5

global L = [540, 460]

global l = [57, 90, 113, 124, 143]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [30.24 25.76; 30.24 25.76]

global c_km = [29.16 36.8; 34.56 40.48]

global p_km = [3.762 4.747; 4.458 5.222]

global c_x = [
1 1 1 16.524;
1 1 2 16.524;
1 1 3 16.524;
1 1 4 16.524;
1 1 5 16.524;
1 1 6 16.524;
1 1 7 16.524;
1 1 8 16.524;
1 1 9 16.524;
1 1 10 16.524;
1 1 11 16.524;
1 1 12 16.524;
1 2 1 17.572;
1 2 2 17.572;
1 2 3 17.572;
1 2 4 17.572;
1 2 5 17.572;
1 2 6 17.572;
1 2 7 17.572;
1 2 8 17.572;
1 2 9 17.572;
1 2 10 17.572;
1 2 11 17.572;
1 2 12 17.572;
2 1 1 23.22;
2 1 2 23.22;
2 1 3 23.22;
2 1 4 23.22;
2 1 5 23.22;
2 1 6 23.22;
2 1 7 23.22;
2 1 8 23.22;
2 1 9 23.22;
2 1 10 23.22;
2 1 11 23.22;
2 1 12 23.22;
2 2 1 19.227;
2 2 2 19.227;
2 2 3 19.227;
2 2 4 19.227;
2 2 5 19.227;
2 2 6 19.227;
2 2 7 19.227;
2 2 8 19.227;
2 2 9 19.227;
2 2 10 19.227;
2 2 11 19.227;
2 2 12 19.227;
]

global c_z = [
1 1 1 0.496;
1 1 2 0.496;
1 1 3 0.496;
1 1 4 0.496;
1 1 5 0.496;
1 1 6 0.496;
1 1 7 0.496;
1 1 8 0.496;
1 1 9 0.496;
1 1 10 0.496;
1 1 11 0.496;
1 1 12 0.496;
1 2 1 0.756;
1 2 2 0.756;
1 2 3 0.756;
1 2 4 0.756;
1 2 5 0.756;
1 2 6 0.756;
1 2 7 0.756;
1 2 8 0.756;
1 2 9 0.756;
1 2 10 0.756;
1 2 11 0.756;
1 2 12 0.756;
2 1 1 0.929;
2 1 2 0.929;
2 1 3 0.929;
2 1 4 0.929;
2 1 5 0.929;
2 1 6 0.929;
2 1 7 0.929;
2 1 8 0.929;
2 1 9 0.929;
2 1 10 0.929;
2 1 11 0.929;
2 1 12 0.929;
2 2 1 0.884;
2 2 2 0.884;
2 2 3 0.884;
2 2 4 0.884;
2 2 5 0.884;
2 2 6 0.884;
2 2 7 0.884;
2 2 8 0.884;
2 2 9 0.884;
2 2 10 0.884;
2 2 11 0.884;
2 2 12 0.884;
]

global c_y = [
1 1 1 2.313;
1 1 2 2.313;
1 1 3 2.313;
1 1 4 2.313;
1 1 5 2.313;
1 1 6 2.313;
1 1 7 2.313;
1 1 8 2.313;
1 1 9 2.313;
1 1 10 2.313;
1 1 11 2.313;
1 1 12 2.313;
1 2 1 1.757;
1 2 2 1.757;
1 2 3 1.757;
1 2 4 1.757;
1 2 5 1.757;
1 2 6 1.757;
1 2 7 1.757;
1 2 8 1.757;
1 2 9 1.757;
1 2 10 1.757;
1 2 11 1.757;
1 2 12 1.757;
2 1 1 2.554;
2 1 2 2.554;
2 1 3 2.554;
2 1 4 2.554;
2 1 5 2.554;
2 1 6 2.554;
2 1 7 2.554;
2 1 8 2.554;
2 1 9 2.554;
2 1 10 2.554;
2 1 11 2.554;
2 1 12 2.554;
2 2 1 2.307;
2 2 2 2.307;
2 2 3 2.307;
2 2 4 2.307;
2 2 5 2.307;
2 2 6 2.307;
2 2 7 2.307;
2 2 8 2.307;
2 2 9 2.307;
2 2 10 2.307;
2 2 11 2.307;
2 2 12 2.307;
]

global c_sc = [
1 1 1 0.081;
1 1 2 0.081;
1 1 3 0.081;
1 1 4 0.081;
1 1 5 0.081;
1 1 6 0.081;
1 1 7 0.081;
1 1 8 0.081;
1 1 9 0.081;
1 1 10 0.081;
1 1 11 0.081;
1 1 12 0.081;
1 2 1 0.086;
1 2 2 0.086;
1 2 3 0.086;
1 2 4 0.086;
1 2 5 0.086;
1 2 6 0.086;
1 2 7 0.086;
1 2 8 0.086;
1 2 9 0.086;
1 2 10 0.086;
1 2 11 0.086;
1 2 12 0.086;
2 1 1 0.094;
2 1 2 0.094;
2 1 3 0.094;
2 1 4 0.094;
2 1 5 0.094;
2 1 6 0.094;
2 1 7 0.094;
2 1 8 0.094;
2 1 9 0.094;
2 1 10 0.094;
2 1 11 0.094;
2 1 12 0.094;
2 2 1 0.083;
2 2 2 0.083;
2 2 3 0.083;
2 2 4 0.083;
2 2 5 0.083;
2 2 6 0.083;
2 2 7 0.083;
2 2 8 0.083;
2 2 9 0.083;
2 2 10 0.083;
2 2 11 0.083;
2 2 12 0.083;
]

global c_w = [
1 1 1 0.297;
1 1 2 0.297;
1 1 3 0.297;
1 1 4 0.297;
1 1 5 0.297;
1 1 6 0.297;
1 1 7 0.297;
1 1 8 0.297;
1 1 9 0.297;
1 1 10 0.297;
1 1 11 0.297;
1 1 12 0.297;
1 2 1 0.492;
1 2 2 0.492;
1 2 3 0.492;
1 2 4 0.492;
1 2 5 0.492;
1 2 6 0.492;
1 2 7 0.492;
1 2 8 0.492;
1 2 9 0.492;
1 2 10 0.492;
1 2 11 0.492;
1 2 12 0.492;
2 1 1 0.279;
2 1 2 0.279;
2 1 3 0.279;
2 1 4 0.279;
2 1 5 0.279;
2 1 6 0.279;
2 1 7 0.279;
2 1 8 0.279;
2 1 9 0.279;
2 1 10 0.279;
2 1 11 0.279;
2 1 12 0.279;
2 2 1 0.327;
2 2 2 0.327;
2 2 3 0.327;
2 2 4 0.327;
2 2 5 0.327;
2 2 6 0.327;
2 2 7 0.327;
2 2 8 0.327;
2 2 9 0.327;
2 2 10 0.327;
2 2 11 0.327;
2 2 12 0.327;
]

global c_e = [
1 1 1 0.040218302861685214;
1 1 2 0.05362440381558028;
1 1 3 0.0384308227344992;
1 1 4 0.04736822337042925;
1 1 5 0.04200578298887122;
1 1 6 0.041112042925278224;
1 1 7 0.03574960254372019;
1 1 8 0.03664334260731319;
1 1 9 0.0384308227344992;
1 1 10 0.050049443561208266;
1 1 11 0.03574960254372019;
1 1 12 0.04736822337042925;
1 2 1 0.03912746422893481;
1 2 2 0.028144316375198725;
1 2 3 0.03569523052464229;
1 2 4 0.028144316375198725;
1 2 5 0.039813910969793316;
1 2 6 0.028144316375198725;
1 2 7 0.039813910969793316;
1 2 8 0.03912746422893481;
1 2 9 0.034322337042925276;
1 2 10 0.039813910969793316;
1 2 11 0.028144316375198725;
1 2 12 0.03500878378378378;
2 1 1 0.07338076311605723;
2 1 2 0.06350258346581876;
2 1 3 0.08467011128775834;
2 1 4 0.06209141494435612;
2 1 5 0.06914725755166931;
2 1 6 0.08043660572337043;
2 1 7 0.06632492050874403;
2 1 8 0.0762031001589825;
2 1 9 0.08184777424483305;
2 1 10 0.06914725755166931;
2 1 11 0.057857909379968195;
2 1 12 0.07338076311605723;
2 2 1 0.04768998410174881;
2 2 2 0.05202543720190779;
2 2 3 0.04335453100158983;
2 2 4 0.048773847376788554;
2 2 5 0.04552225755166931;
2 2 6 0.0498577106518283;
2 2 7 0.0617802066772655;
2 2 8 0.05852861685214627;
