###################################################
# Classe 13 : K = 4, M = 2, T = 10, N = 5
# Exemplo: 10.   c13ex10.dat          Semente: 2000
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 5

global L = [540, 460]

global l = [98, 120, 129, 144, 149]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [54.0 46.0; 54.0 46.0; 54.0 46.0; 54.0 46.0]

global c_km = [51.84 26.68; 47.52 45.08; 31.32 41.4; 41.04 23.92]

global p_km = [5.962 3.068; 5.465 5.184; 3.602 4.761; 4.72 2.751]

global c_x = [
1 1 1 20.196;
1 1 2 20.196;
1 1 3 20.196;
1 1 4 20.196;
1 1 5 20.196;
1 1 6 20.196;
1 1 7 20.196;
1 1 8 20.196;
1 1 9 20.196;
1 1 10 20.196;
1 2 1 20.791;
1 2 2 20.791;
1 2 3 20.791;
1 2 4 20.791;
1 2 5 20.791;
1 2 6 20.791;
1 2 7 20.791;
1 2 8 20.791;
1 2 9 20.791;
1 2 10 20.791;
2 1 1 16.2;
2 1 2 16.2;
2 1 3 16.2;
2 1 4 16.2;
2 1 5 16.2;
2 1 6 16.2;
2 1 7 16.2;
2 1 8 16.2;
2 1 9 16.2;
2 1 10 16.2;
2 2 1 21.62;
2 2 2 21.62;
2 2 3 21.62;
2 2 4 21.62;
2 2 5 21.62;
2 2 6 21.62;
2 2 7 21.62;
2 2 8 21.62;
2 2 9 21.62;
2 2 10 21.62;
3 1 1 19.548;
3 1 2 19.548;
3 1 3 19.548;
3 1 4 19.548;
3 1 5 19.548;
3 1 6 19.548;
3 1 7 19.548;
3 1 8 19.548;
3 1 9 19.548;
3 1 10 19.548;
3 2 1 16.56;
3 2 2 16.56;
3 2 3 16.56;
3 2 4 16.56;
3 2 5 16.56;
3 2 6 16.56;
3 2 7 16.56;
3 2 8 16.56;
3 2 9 16.56;
3 2 10 16.56;
4 1 1 16.632;
4 1 2 16.632;
4 1 3 16.632;
4 1 4 16.632;
4 1 5 16.632;
4 1 6 16.632;
4 1 7 16.632;
4 1 8 16.632;
4 1 9 16.632;
4 1 10 16.632;
4 2 1 16.836;
4 2 2 16.836;
4 2 3 16.836;
4 2 4 16.836;
4 2 5 16.836;
4 2 6 16.836;
4 2 7 16.836;
4 2 8 16.836;
4 2 9 16.836;
4 2 10 16.836;
]

global c_z = [
1 1 1 0.909;
1 1 2 0.909;
1 1 3 0.909;
1 1 4 0.909;
1 1 5 0.909;
1 1 6 0.909;
1 1 7 0.909;
1 1 8 0.909;
1 1 9 0.909;
1 1 10 0.909;
1 2 1 0.624;
1 2 2 0.624;
1 2 3 0.624;
1 2 4 0.624;
1 2 5 0.624;
1 2 6 0.624;
1 2 7 0.624;
1 2 8 0.624;
1 2 9 0.624;
1 2 10 0.624;
2 1 1 0.599;
2 1 2 0.599;
2 1 3 0.599;
2 1 4 0.599;
2 1 5 0.599;
2 1 6 0.599;
2 1 7 0.599;
2 1 8 0.599;
2 1 9 0.599;
2 1 10 0.599;
2 2 1 0.951;
2 2 2 0.951;
