###################################################
# Classe 16 : K = 4, M = 2, T = 12, N = 5
# Exemplo: 6.   Nome do arquivo: c16ex06.dat          Semente: 8386

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [58, 78, 85, 94, 142] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 17.712;
1 1 2 17.712;
1 1 3 17.712;
1 1 4 17.712;
1 1 5 17.712;
1 1 6 17.712;
1 1 7 17.712;
1 1 8 17.712;
1 1 9 17.712;
1 1 10 17.712;
1 1 11 17.712;
1 1 12 17.712;
1 2 1 16.468;
1 2 2 16.468;
1 2 3 16.468;
1 2 4 16.468;
1 2 5 16.468;
1 2 6 16.468;
1 2 7 16.468;
1 2 8 16.468;
1 2 9 16.468;
1 2 10 16.468;
1 2 11 16.468;
1 2 12 16.468;
2 1 1 19.224;
2 1 2 19.224;
2 1 3 19.224;
2 1 4 19.224;
2 1 5 19.224;
2 1 6 19.224;
2 1 7 19.224;
2 1 8 19.224;
2 1 9 19.224;
2 1 10 19.224;
2 1 11 19.224;
2 1 12 19.224;
2 2 1 15.088;
2 2 2 15.088;
2 2 3 15.088;
2 2 4 15.088;
2 2 5 15.088;
2 2 6 15.088;
2 2 7 15.088;
2 2 8 15.088;
2 2 9 15.088;
2 2 10 15.088;
2 2 11 15.088;
2 2 12 15.088;
3 1 1 26.892;
3 1 2 26.892;
3 1 3 26.892;
3 1 4 26.892;
3 1 5 26.892;
3 1 6 26.892;
3 1 7 26.892;
3 1 8 26.892;
3 1 9 26.892;
3 1 10 26.892;
3 1 11 26.892;
3 1 12 26.892;
3 2 1 22.54;
3 2 2 22.54;
3 2 3 22.54;
3 2 4 22.54;
3 2 5 22.54;
3 2 6 22.54;
3 2 7 22.54;
3 2 8 22.54;
3 2 9 22.54;
3 2 10 22.54;
3 2 11 22.54;
3 2 12 22.54;
4 1 1 22.355;
4 1 2 22.355;
