###################################################
# Classe 12 : K = 4, M = 2, T = 8, N = 20
# Exemplo: 3.   Nome do arquivo: c12ex03.dat          Semente: 8689

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [60, 62, 75, 77, 81, 86, 89, 90, 109, 112, 113, 113, 122, 123, 125, 129, 135, 136, 139, 148] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 25.704;
1 1 2 25.704;
1 1 3 25.704;
1 1 4 25.704;
1 1 5 25.704;
1 1 6 25.704;
1 1 7 25.704;
1 1 8 25.704;
1 2 1 20.608;
1 2 2 20.608;
1 2 3 20.608;
1 2 4 20.608;
1 2 5 20.608;
1 2 6 20.608;
1 2 7 20.608;
1 2 8 20.608;
2 1 1 23.112;
2 1 2 23.112;
2 1 3 23.112;
2 1 4 23.112;
2 1 5 23.112;
2 1 6 23.112;
2 1 7 23.112;
2 1 8 23.112;
2 2 1 22.816;
2 2 2 22.816;
2 2 3 22.816;
2 2 4 22.816;
2 2 5 22.816;
2 2 6 22.816;
2 2 7 22.816;
2 2 8 22.816;
3 1 1 20.087;
3 1 2 20.087;
3 1 3 20.087;
3 1 4 20.087;
3 1 5 20.087;
3 1 6 20.087;
3 1 7 20.087;
3 1 8 20.087;
3 2 1 14.995;
3 2 2 14.995;
3 2 3 14.995;
3 2 4 14.995;
3 2 5 14.995;
3 2 6 14.995;
3 2 7 14.995;
3 2 8 14.995;
4 1 1 18.576;
4 1 2 18.576;
4 1 3 18.576;
4 1 4 18.576;
4 1 5 18.576;
4 1 6 18.576;
4 1 7 18.576;
4 1 8 18.576;
4 2 1 17.663;
4 2 2 17.663;
4 2 3 17.663;
4 2 4 17.663;
4 2 5 17.663;
4 2 6 17.663;
4 2 7 17.663;
4 2 8 17.663;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.009;
1 1 2 0.009;
1 1 3 0.009;
