###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 10.   Nome do arquivo: c1ex10.dat          Semente: 9789

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 87, 110, 121, 147] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 24.516;
1 1 2 24.516;
1 1 3 24.516;
1 1 4 24.516;
1 1 5 24.516;
1 1 6 24.516;
1 1 7 24.516;
1 1 8 24.516;
1 2 1 20.424;
1 2 2 20.424;
1 2 3 20.424;
1 2 4 20.424;
1 2 5 20.424;
1 2 6 20.424;
1 2 7 20.424;
1 2 8 20.424;
2 1 1 19.439;
2 1 2 19.439;
2 1 3 19.439;
2 1 4 19.439;
2 1 5 19.439;
2 1 6 19.439;
2 1 7 19.439;
2 1 8 19.439;
2 2 1 17.572;
2 2 2 17.572;
2 2 3 17.572;
2 2 4 17.572;
2 2 5 17.572;
2 2 6 17.572;
2 2 7 17.572;
2 2 8 17.572;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.013;
1 1 2 0.013;
1 1 3 0.013;
1 1 4 0.013;
1 1 5 0.013;
1 1 6 0.013;
1 1 7 0.013;
1 1 8 0.013;
1 2 1 0.011;
1 2 2 0.011;
1 2 3 0.011;
1 2 4 0.011;
1 2 5 0.011;
1 2 6 0.011;
1 2 7 0.011;
1 2 8 0.011;
2 1 1 0.012;
2 1 2 0.012;
2 1 3 0.012;
2 1 4 0.012;
2 1 5 0.012;
2 1 6 0.012;
2 1 7 0.012;
2 1 8 0.012;
2 2 1 0.011;
2 2 2 0.011;
2 2 3 0.011;
2 2 4 0.011;
2 2 5 0.011;
2 2 6 0.011;
2 2 7 0.011;
2 2 8 0.011;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 0.858;
1 1 2 0.858;
1 1 3 0.858;
1 1 4 0.858;
1 1 5 0.858;
1 1 6 0.858;
1 1 7 0.858;
1 1 8 0.858;
1 2 1 0.919;
1 2 2 0.919;
1 2 3 0.919;
1 2 4 0.919;
1 2 5 0.919;
1 2 6 0.919;
1 2 7 0.919;
1 2 8 0.919;
2 1 1 0.914;
2 1 2 0.914;
2 1 3 0.914;
2 1 4 0.914;
2 1 5 0.914;
2 1 6 0.914;
2 1 7 0.914;
2 1 8 0.914;
2 2 1 0.703;
2 2 2 0.703;
2 2 3 0.703;
2 2 4 0.703;
2 2 5 0.703;
2 2 6 0.703;
2 2 7 0.703;
2 2 8 0.703;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 2.452;
1 1 2 2.452;
1 1 3 2.452;
1 1 4 2.452;
1 1 5 2.452;
1 1 6 2.452;
1 1 7 2.452;
1 1 8 2.452;
1 2 1 3.064;
1 2 2 3.064;
1 2 3 3.064;
1 2 4 3.064;
1 2 5 3.064;
1 2 6 3.064;
1 2 7 3.064;
1 2 8 3.064;
2 1 1 2.527;
2 1 2 2.527;
2 1 3 2.527;
2 1 4 2.527;
2 1 5 2.527;
2 1 6 2.527;
2 1 7 2.527;
2 1 8 2.527;
2 2 1 1.933;
2 2 2 1.933;
2 2 3 1.933;
2 2 4 1.933;
2 2 5 1.933;
2 2 6 1.933;
2 2 7 1.933;
2 2 8 1.933;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.006;
1 1 2 0.006;
1 1 3 0.006;
1 1 4 0.006;
1 1 5 0.006;
1 1 6 0.006;
1 1 7 0.006;
1 1 8 0.006;
1 2 1 0.006;
1 2 2 0.006;
1 2 3 0.006;
1 2 4 0.006;
1 2 5 0.006;
1 2 6 0.006;
1 2 7 0.006;
1 2 8 0.006;
2 1 1 0.006;
2 1 2 0.006;
2 1 3 0.006;
2 1 4 0.006;
2 1 5 0.006;
2 1 6 0.006;
2 1 7 0.006;
2 1 8 0.006;
2 2 1 0.006;
2 2 2 0.006;
2 2 3 0.006;
2 2 4 0.006;
2 2 5 0.006;
2 2 6 0.006;
2 2 7 0.006;
2 2 8 0.006;
3 1 1 0.006;
3 1 2 0.006;
3 1 3 0.006;
3 1 4 0.006;
3 1 5 0.006;
3 1 6 0.006;
3 1 7 0.006;
3 1 8 0.006;
3 2 1 0.006;
3 2 2 0.006;
3 2 3 0.006;
3 2 4 0.006;
3 2 5 0.006;
3 2 6 0.006;
3 2 7 0.006;
3 2 8 0.006;
4 1 1 0.006;
4 1 2 0.006;
4 1 3 0.006;
4 1 4 0.006;
4 1 5 0.006;
4 1 6 0.006;
4 1 7 0.006;
4 1 8 0.006;
4 2 1 0.006;
4 2 2 0.006;
4 2 3 0.006;
4 2 4 0.006;
4 2 5 0.006;
4 2 6 0.006;
4 2 7 0.006;
4 2 8 0.006;
5 1 1 0.006;
5 1 2 0.006;
5 1 3 0.006;
5 1 4 0.006;
5 1 5 0.006;
5 1 6 0.006;
5 1 7 0.006;
5 1 8 0.006;
5 2 1 0.006;
