###################################################
# Classe 16 : K = 4, M = 2, T = 12, N = 5
# Exemplo: 9.   Nome do arquivo: c16ex09.dat          Semente: 2919

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 66, 70, 124, 133] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 25.596;
1 1 2 25.596;
1 1 3 25.596;
1 1 4 25.596;
1 1 5 25.596;
1 1 6 25.596;
1 1 7 25.596;
1 1 8 25.596;
1 1 9 25.596;
1 1 10 25.596;
1 1 11 25.596;
1 1 12 25.596;
1 2 1 18.952;
1 2 2 18.952;
1 2 3 18.952;
1 2 4 18.952;
1 2 5 18.952;
1 2 6 18.952;
1 2 7 18.952;
1 2 8 18.952;
1 2 9 18.952;
1 2 10 18.952;
1 2 11 18.952;
1 2 12 18.952;
2 1 1 16.524;
2 1 2 16.524;
2 1 3 16.524;
2 1 4 16.524;
2 1 5 16.524;
2 1 6 16.524;
2 1 7 16.524;
2 1 8 16.524;
2 1 9 16.524;
2 1 10 16.524;
2 1 11 16.524;
2 1 12 16.524;
2 2 1 21.436;
2 2 2 21.436;
2 2 3 21.436;
2 2 4 21.436;
2 2 5 21.436;
2 2 6 21.436;
2 2 7 21.436;
2 2 8 21.436;
2 2 9 21.436;
2 2 10 21.436;
2 2 11 21.436;
2 2 12 21.436;
3 1 1 18.576;
3 1 2 18.576;
3 1 3 18.576;
3 1 4 18.576;
3 1 5 18.576;
3 1 6 18.576;
3 1 7 18.576;
3 1 8 18.576;
3 1 9 18.576;
3 1 10 18.576;
3 1 11 18.576;
3 1 12 18.576;
3 2 1 17.663;
3 2 2 17.663;
3 2 3 17.663;
3 2 4 17.663;
3 2 5 17.663;
3 2 6 17.663;
3 2 7 17.663;
3 2 8 17.663;
3 2 9 17.663;
3 2 10 17.663;
3 2 11 17.663;
3 2 12 17.663;
4 1 1 18.252;
4 1 2 18.252;
