###################################################
# Classe 20 : K = 6, M = 2, T = 8, N = 10
# Exemplo: 5.   Nome do arquivo: c20ex05.dat          Semente: 9879

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [50, 53, 72, 78, 80, 85, 86, 113, 118, 132] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 18.791;
1 1 2 18.791;
1 1 3 18.791;
1 1 4 18.791;
1 1 5 18.791;
1 1 6 18.791;
1 1 7 18.791;
1 1 8 18.791;
1 2 1 18.124;
1 2 2 18.124;
1 2 3 18.124;
1 2 4 18.124;
1 2 5 18.124;
1 2 6 18.124;
1 2 7 18.124;
1 2 8 18.124;
2 1 1 19.116;
2 1 2 19.116;
2 1 3 19.116;
2 1 4 19.116;
2 1 5 19.116;
2 1 6 19.116;
2 1 7 19.116;
2 1 8 19.116;
2 2 1 22.355;
2 2 2 22.355;
2 2 3 22.355;
2 2 4 22.355;
2 2 5 22.355;
2 2 6 22.355;
2 2 7 22.355;
2 2 8 22.355;
3 1 1 21.384;
3 1 2 21.384;
3 1 3 21.384;
3 1 4 21.384;
3 1 5 21.384;
3 1 6 21.384;
3 1 7 21.384;
3 1 8 21.384;
3 2 1 14.168;
3 2 2 14.168;
3 2 3 14.168;
3 2 4 14.168;
3 2 5 14.168;
3 2 6 14.168;
3 2 7 14.168;
3 2 8 14.168;
4 1 1 24.084;
4 1 2 24.084;
4 1 3 24.084;
4 1 4 24.084;
4 1 5 24.084;
4 1 6 24.084;
4 1 7 24.084;
4 1 8 24.084;
4 2 1 15.272;
4 2 2 15.272;
4 2 3 15.272;
4 2 4 15.272;
4 2 5 15.272;
4 2 6 15.272;
4 2 7 15.272;
4 2 8 15.272;
5 1 1 22.464;
5 1 2 22.464;
5 1 3 22.464;
5 1 4 22.464;
5 1 5 22.464;
5 1 6 22.464;
