###################################################
# Classe 27 : K = 6, M = 2, T = 12, N = 20
# Exemplo: 1.   Nome do arquivo: c27ex01.dat          Semente: 8386

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [56, 57, 58, 64, 64, 73, 73, 78, 78, 79, 85, 91, 94, 95, 107, 122, 142, 145, 149, 150] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 16.416;
1 1 2 16.416;
1 1 3 16.416;
1 1 4 16.416;
1 1 5 16.416;
1 1 6 16.416;
1 1 7 16.416;
1 1 8 16.416;
1 1 9 16.416;
1 1 10 16.416;
1 1 11 16.416;
1 1 12 16.416;
1 2 1 14.351;
1 2 2 14.351;
1 2 3 14.351;
1 2 4 14.351;
1 2 5 14.351;
1 2 6 14.351;
1 2 7 14.351;
1 2 8 14.351;
1 2 9 14.351;
1 2 10 14.351;
1 2 11 14.351;
1 2 12 14.351;
2 1 1 19.116;
2 1 2 19.116;
2 1 3 19.116;
2 1 4 19.116;
2 1 5 19.116;
2 1 6 19.116;
2 1 7 19.116;
2 1 8 19.116;
2 1 9 19.116;
2 1 10 19.116;
2 1 11 19.116;
2 1 12 19.116;
2 2 1 17.112;
2 2 2 17.112;
2 2 3 17.112;
2 2 4 17.112;
2 2 5 17.112;
2 2 6 17.112;
2 2 7 17.112;
2 2 8 17.112;
2 2 9 17.112;
2 2 10 17.112;
2 2 11 17.112;
2 2 12 17.112;
3 1 1 17.387;
3 1 2 17.387;
3 1 3 17.387;
3 1 4 17.387;
3 1 5 17.387;
3 1 6 17.387;
3 1 7 17.387;
3 1 8 17.387;
3 1 9 17.387;
3 1 10 17.387;
3 1 11 17.387;
3 1 12 17.387;
3 2 1 18.86;
3 2 2 18.86;
3 2 3 18.86;
3 2 4 18.86;
3 2 5 18.86;
3 2 6 18.86;
3 2 7 18.86;
