###################################################
# Classe 25 : K = 6, M = 2, T = 12, N = 5
# Exemplo: 3.   Nome do arquivo: c25ex03.dat          Semente: 6000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [64, 90, 110, 122, 146] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 25.272;
1 1 2 25.272;
1 1 3 25.272;
1 1 4 25.272;
1 1 5 25.272;
1 1 6 25.272;
1 1 7 25.272;
1 1 8 25.272;
1 1 9 25.272;
1 1 10 25.272;
1 1 11 25.272;
1 1 12 25.272;
1 2 1 16.652;
1 2 2 16.652;
1 2 3 16.652;
1 2 4 16.652;
1 2 5 16.652;
1 2 6 16.652;
1 2 7 16.652;
1 2 8 16.652;
1 2 9 16.652;
1 2 10 16.652;
1 2 11 16.652;
1 2 12 16.652;
2 1 1 25.812;
2 1 2 25.812;
2 1 3 25.812;
2 1 4 25.812;
2 1 5 25.812;
2 1 6 25.812;
2 1 7 25.812;
2 1 8 25.812;
2 1 9 25.812;
2 1 10 25.812;
2 1 11 25.812;
2 1 12 25.812;
2 2 1 16.928;
2 2 2 16.928;
2 2 3 16.928;
2 2 4 16.928;
2 2 5 16.928;
2 2 6 16.928;
2 2 7 16.928;
2 2 8 16.928;
2 2 9 16.928;
2 2 10 16.928;
2 2 11 16.928;
2 2 12 16.928;
3 1 1 19.332;
3 1 2 19.332;
3 1 3 19.332;
3 1 4 19.332;
3 1 5 19.332;
3 1 6 19.332;
3 1 7 19.332;
3 1 8 19.332;
3 1 9 19.332;
3 1 10 19.332;
3 1 11 19.332;
3 1 12 19.332;
3 2 1 21.804;
3 2 2 21.804;
3 2 3 21.804;
3 2 4 21.804;
3 2 5 21.804;
3 2 6 21.804;
3 2 7 21.804;
3 2 8 21.804;
3 2 9 21.804;
3 2 10 21.804;
3 2 11 21.804;
