###################################################
# Classe 12 : K = 4, M = 2, T = 8, N = 20
# Exemplo: 10.   Nome do arquivo: c12ex10.dat          Semente: 2735

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 56, 59, 86, 91, 93, 95, 96, 99, 104, 105, 110, 111, 122, 126, 128, 129, 138, 144, 146] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.14;
1 1 2 22.14;
1 1 3 22.14;
1 1 4 22.14;
1 1 5 22.14;
1 1 6 22.14;
1 1 7 22.14;
1 1 8 22.14;
1 2 1 19.32;
1 2 2 19.32;
1 2 3 19.32;
1 2 4 19.32;
1 2 5 19.32;
1 2 6 19.32;
1 2 7 19.32;
1 2 8 19.32;
2 1 1 17.387;
2 1 2 17.387;
2 1 3 17.387;
2 1 4 17.387;
2 1 5 17.387;
2 1 6 17.387;
2 1 7 17.387;
2 1 8 17.387;
2 2 1 19.872;
2 2 2 19.872;
2 2 3 19.872;
2 2 4 19.872;
2 2 5 19.872;
2 2 6 19.872;
2 2 7 19.872;
2 2 8 19.872;
3 1 1 20.628;
3 1 2 20.628;
3 1 3 20.628;
3 1 4 20.628;
3 1 5 20.628;
3 1 6 20.628;
3 1 7 20.628;
3 1 8 20.628;
3 2 1 17.756;
3 2 2 17.756;
3 2 3 17.756;
3 2 4 17.756;
3 2 5 17.756;
3 2 6 17.756;
3 2 7 17.756;
3 2 8 17.756;
4 1 1 22.248;
4 1 2 22.248;
4 1 3 22.248;
4 1 4 22.248;
4 1 5 22.248;
4 1 6 22.248;
4 1 7 22.248;
4 1 8 22.248;
4 2 1 15.363;
4 2 2 15.363;
4 2 3 15.363;
4 2 4 15.363;
4 2 5 15.363;
4 2 6 15.363;
4 2 7 15.363;
4 2 8 15.363;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.013;
1 1 2 0.013;
1 1 3 0.013;
