###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 8.   Nome do arquivo: c1ex08.dat          Semente: 8689

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [62, 113, 135, 136, 148] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 17.28;
1 1 2 17.28;
1 1 3 17.28;
1 1 4 17.28;
1 1 5 17.28;
1 1 6 17.28;
1 1 7 17.28;
1 1 8 17.28;
1 2 1 19.227;
1 2 2 19.227;
1 2 3 19.227;
1 2 4 19.227;
1 2 5 19.227;
1 2 6 19.227;
1 2 7 19.227;
1 2 8 19.227;
2 1 1 24.084;
2 1 2 24.084;
2 1 3 24.084;
2 1 4 24.084;
2 1 5 24.084;
2 1 6 24.084;
2 1 7 24.084;
2 1 8 24.084;
2 2 1 17.48;
2 2 2 17.48;
2 2 3 17.48;
2 2 4 17.48;
2 2 5 17.48;
2 2 6 17.48;
2 2 7 17.48;
2 2 8 17.48;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.012;
1 1 2 0.012;
1 1 3 0.012;
1 1 4 0.012;
1 1 5 0.012;
1 1 6 0.012;
1 1 7 0.012;
1 1 8 0.012;
1 2 1 0.01;
1 2 2 0.01;
1 2 3 0.01;
1 2 4 0.01;
1 2 5 0.01;
1 2 6 0.01;
1 2 7 0.01;
1 2 8 0.01;
2 1 1 0.01;
2 1 2 0.01;
2 1 3 0.01;
2 1 4 0.01;
2 1 5 0.01;
2 1 6 0.01;
2 1 7 0.01;
2 1 8 0.01;
2 2 1 0.009;
2 2 2 0.009;
2 2 3 0.009;
2 2 4 0.009;
2 2 5 0.009;
2 2 6 0.009;
2 2 7 0.009;
2 2 8 0.009;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 0.639;
1 1 2 0.639;
1 1 3 0.639;
1 1 4 0.639;
1 1 5 0.639;
1 1 6 0.639;
1 1 7 0.639;
1 1 8 0.639;
1 2 1 0.808;
1 2 2 0.808;
1 2 3 0.808;
1 2 4 0.808;
1 2 5 0.808;
1 2 6 0.808;
1 2 7 0.808;
1 2 8 0.808;
2 1 1 0.867;
2 1 2 0.867;
2 1 3 0.867;
2 1 4 0.867;
2 1 5 0.867;
2 1 6 0.867;
2 1 7 0.867;
2 1 8 0.867;
2 2 1 0.612;
2 2 2 0.612;
2 2 3 0.612;
2 2 4 0.612;
2 2 5 0.612;
2 2 6 0.612;
2 2 7 0.612;
2 2 8 0.612;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 2.419;
1 1 2 2.419;
1 1 3 2.419;
1 1 4 2.419;
1 1 5 2.419;
1 1 6 2.419;
1 1 7 2.419;
1 1 8 2.419;
1 2 1 2.307;
1 2 2 2.307;
1 2 3 2.307;
1 2 4 2.307;
1 2 5 2.307;
1 2 6 2.307;
1 2 7 2.307;
1 2 8 2.307;
2 1 1 3.131;
2 1 2 3.131;
2 1 3 3.131;
2 1 4 3.131;
2 1 5 3.131;
2 1 6 3.131;
2 1 7 3.131;
2 1 8 3.131;
2 2 1 2.622;
2 2 2 2.622;
2 2 3 2.622;
2 2 4 2.622;
2 2 5 2.622;
2 2 6 2.622;
2 2 7 2.622;
2 2 8 2.622;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.006;
1 1 2 0.006;
1 1 3 0.006;
1 1 4 0.006;
1 1 5 0.006;
1 1 6 0.006;
1 1 7 0.006;
1 1 8 0.006;
1 2 1 0.005;
1 2 2 0.005;
1 2 3 0.005;
1 2 4 0.005;
1 2 5 0.005;
1 2 6 0.005;
1 2 7 0.005;
1 2 8 0.005;
2 1 1 0.006;
2 1 2 0.006;
2 1 3 0.006;
2 1 4 0.006;
2 1 5 0.006;
2 1 6 0.006;
2 1 7 0.006;
2 1 8 0.006;
2 2 1 0.005;
2 2 2 0.005;
2 2 3 0.005;
2 2 4 0.005;
2 2 5 0.005;
2 2 6 0.005;
2 2 7 0.005;
2 2 8 0.005;
3 1 1 0.006;
3 1 2 0.006;
3 1 3 0.006;
3 1 4 0.006;
3 1 5 0.006;
3 1 6 0.006;
3 1 7 0.006;
3 1 8 0.006;
3 2 1 0.005;
3 2 2 0.005;
3 2 3 0.005;
3 2 4 0.005;
3 2 5 0.005;
3 2 6 0.005;
3 2 7 0.005;
3 2 8 0.005;
4 1 1 0.006;
4 1 2 0.006;
4 1 3 0.006;
4 1 4 0.006;
4 1 5 0.006;
4 1 6 0.006;
4 1 7 0.006;
4 1 8 0.006;
4 2 1 0.005;
4 2 2 0.005;
4 2 3 0.005;
4 2 4 0.005;
4 2 5 0.005;
4 2 6 0.005;
4 2 7 0.005;
4 2 8 0.005;
5 1 1 0.006;
5 1 2 0.006;
5 1 3 0.006;
5 1 4 0.006;
5 1 5 0.006;
5 1 6 0.006;
5 1 7 0.006;
5 1 8 0.006;
5 2 1 0.005;
