###################################################
# Classe 12 : K = 4, M = 2, T = 8, N = 20
# Exemplo: 2.   c12ex02.dat          Semente: 7384
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 8
global N = 20

global L = [540, 460]

global l = [50, 52, 61, 62, 70, 75, 82, 90, 93, 102, 104, 106, 120, 127, 132, 133, 136, 136, 142, 144]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [39.96 34.04; 39.96 34.04; 39.96 34.04; 39.96 34.04]

global c_km = [54.0 30.36; 33.48 20.24; 42.12 32.2; 23.76 46.0]

global p_km = [7.83 4.402; 4.855 2.935; 6.107 4.669; 3.445 6.67]

global c_x = [
1 1 1 22.14;
1 1 2 22.14;
1 1 3 22.14;
1 1 4 22.14;
1 1 5 22.14;
1 1 6 22.14;
1 1 7 22.14;
1 1 8 22.14;
1 2 1 20.24;
1 2 2 20.24;
1 2 3 20.24;
1 2 4 20.24;
1 2 5 20.24;
1 2 6 20.24;
1 2 7 20.24;
1 2 8 20.24;
2 1 1 26.892;
2 1 2 26.892;
2 1 3 26.892;
2 1 4 26.892;
2 1 5 26.892;
2 1 6 26.892;
2 1 7 26.892;
2 1 8 26.892;
2 2 1 22.54;
2 2 2 22.54;
2 2 3 22.54;
2 2 4 22.54;
2 2 5 22.54;
2 2 6 22.54;
2 2 7 22.54;
2 2 8 22.54;
3 1 1 16.632;
3 1 2 16.632;
3 1 3 16.632;
3 1 4 16.632;
3 1 5 16.632;
3 1 6 16.632;
3 1 7 16.632;
3 1 8 16.632;
3 2 1 14.72;
3 2 2 14.72;
3 2 3 14.72;
3 2 4 14.72;
3 2 5 14.72;
3 2 6 14.72;
3 2 7 14.72;
3 2 8 14.72;
4 1 1 23.759;
4 1 2 23.759;
4 1 3 23.759;
4 1 4 23.759;
4 1 5 23.759;
4 1 6 23.759;
4 1 7 23.759;
4 1 8 23.759;
4 2 1 14.26;
4 2 2 14.26;
4 2 3 14.26;
4 2 4 14.26;
4 2 5 14.26;
4 2 6 14.26;
4 2 7 14.26;
4 2 8 14.26;
]

global c_z = [
1 1 1 1.107;
1 1 2 1.107;
1 1 3 1.107;
1 1 4 1.107;
1 1 5 1.107;
1 1 6 1.107;
1 1 7 1.107;
1 1 8 1.107;
1 2 1 0.648;
1 2 2 0.648;
1 2 3 0.648;
1 2 4 0.648;
1 2 5 0.648;
1 2 6 0.648;
1 2 7 0.648;
1 2 8 0.648;
2 1 1 1.183;
2 1 2 1.183;
2 1 3 1.183;
2 1 4 1.183;
2 1 5 1.183;
2 1 6 1.183;
2 1 7 1.183;
2 1 8 1.183;
2 2 1 1.037;
2 2 2 1.037;
2 2 3 1.037;
2 2 4 1.037;
2 2 5 1.037;
2 2 6 1.037;
2 2 7 1.037;
2 2 8 1.037;
3 1 1 0.632;
3 1 2 0.632;
3 1 3 0.632;
3 1 4 0.632;
3 1 5 0.632;
3 1 6 0.632;
3 1 7 0.632;
3 1 8 0.632;
3 2 1 0.589;
3 2 2 0.589;
3 2 3 0.589;
3 2 4 0.589;
3 2 5 0.589;
3 2 6 0.589;
3 2 7 0.589;
3 2 8 0.589;
4 1 1 1.069;
4 1 2 1.069;
4 1 3 1.069;
4 1 4 1.069;
4 1 5 1.069;
4 1 6 1.069;
4 1 7 1.069;
4 1 8 1.069;
4 2 1 0.699;
4 2 2 0.699;
4 2 3 0.699;
4 2 4 0.699;
4 2 5 0.699;
4 2 6 0.699;
4 2 7 0.699;
4 2 8 0.699;
]

global c_y = [
1 1 1 2.657;
1 1 2 2.657;
1 1 3 2.657;
1 1 4 2.657;
1 1 5 2.657;
1 1 6 2.657;
1 1 7 2.657;
1 1 8 2.657;
1 2 1 3.036;
1 2 2 3.036;
1 2 3 3.036;
1 2 4 3.036;
1 2 5 3.036;
1 2 6 3.036;
1 2 7 3.036;
1 2 8 3.036;
2 1 1 3.496;
2 1 2 3.496;
2 1 3 3.496;
2 1 4 3.496;
2 1 5 3.496;
2 1 6 3.496;
2 1 7 3.496;
2 1 8 3.496;
