###################################################
# Classe 24 : K = 6, M = 2, T = 10, N = 20
# Exemplo: 4.   c24ex04.dat          Semente: 2323
#-----------------------Dados----------------------
global K = 6
global M = 2
global T = 10
global N = 20

global L = [540, 460]

global l = [56, 58, 61, 67, 71, 79, 81, 86, 91, 92, 99, 99, 108, 111, 112, 113, 115, 121, 129, 134]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [29.16 24.84; 29.16 24.84; 29.16 24.84; 29.16 24.84; 29.16 24.84; 29.16 24.84]

global c_km = [50.76 25.76; 41.04 36.8; 33.48 29.44; 54.0 19.32; 33.48 34.96; 24.84 38.64]

global p_km = [6.243 3.168; 5.048 4.526; 4.118 3.621; 6.642 2.376; 4.118 4.3; 3.055 4.753]

global c_x = [
1 1 1 17.712;
1 1 2 17.712;
1 1 3 17.712;
1 1 4 17.712;
1 1 5 17.712;
1 1 6 17.712;
1 1 7 17.712;
1 1 8 17.712;
1 1 9 17.712;
1 1 10 17.712;
1 2 1 14.351;
1 2 2 14.351;
1 2 3 14.351;
1 2 4 14.351;
1 2 5 14.351;
1 2 6 14.351;
1 2 7 14.351;
1 2 8 14.351;
1 2 9 14.351;
1 2 10 14.351;
2 1 1 26.46;
2 1 2 26.46;
2 1 3 26.46;
2 1 4 26.46;
2 1 5 26.46;
2 1 6 26.46;
2 1 7 26.46;
2 1 8 26.46;
2 1 9 26.46;
2 1 10 26.46;
2 2 1 18.584;
2 2 2 18.584;
2 2 3 18.584;
2 2 4 18.584;
2 2 5 18.584;
2 2 6 18.584;
2 2 7 18.584;
2 2 8 18.584;
2 2 9 18.584;
2 2 10 18.584;
3 1 1 22.896;
3 1 2 22.896;
3 1 3 22.896;
3 1 4 22.896;
3 1 5 22.896;
3 1 6 22.896;
3 1 7 22.896;
3 1 8 22.896;
3 1 9 22.896;
3 1 10 22.896;
3 2 1 17.848;
3 2 2 17.848;
3 2 3 17.848;
3 2 4 17.848;
3 2 5 17.848;
3 2 6 17.848;
3 2 7 17.848;
3 2 8 17.848;
3 2 9 17.848;
3 2 10 17.848;
4 1 1 18.36;
4 1 2 18.36;
4 1 3 18.36;
4 1 4 18.36;
4 1 5 18.36;
4 1 6 18.36;
4 1 7 18.36;
4 1 8 18.36;
4 1 9 18.36;
4 1 10 18.36;
4 2 1 16.652;
4 2 2 16.652;
4 2 3 16.652;
4 2 4 16.652;
4 2 5 16.652;
4 2 6 16.652;
4 2 7 16.652;
4 2 8 16.652;
4 2 9 16.652;
4 2 10 16.652;
5 1 1 23.112;
5 1 2 23.112;
5 1 3 23.112;
5 1 4 23.112;
5 1 5 23.112;
5 1 6 23.112;
5 1 7 23.112;
5 1 8 23.112;
5 1 9 23.112;
5 1 10 23.112;
5 2 1 19.412;
5 2 2 19.412;
5 2 3 19.412;
5 2 4 19.412;
5 2 5 19.412;
5 2 6 19.412;
5 2 7 19.412;
5 2 8 19.412;
5 2 9 19.412;
5 2 10 19.412;
6 1 1 26.244;
