###################################################
# Classe 20 : K = 6, M = 2, T = 8, N = 10
# Exemplo: 8.   Nome do arquivo: c20ex08.dat          Semente: 2109

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [50, 54, 63, 68, 83, 112, 121, 132, 136, 141] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 19.98;
1 1 2 19.98;
1 1 3 19.98;
1 1 4 19.98;
1 1 5 19.98;
1 1 6 19.98;
1 1 7 19.98;
1 1 8 19.98;
1 2 1 17.48;
1 2 2 17.48;
1 2 3 17.48;
1 2 4 17.48;
1 2 5 17.48;
1 2 6 17.48;
1 2 7 17.48;
1 2 8 17.48;
2 1 1 19.439;
2 1 2 19.439;
2 1 3 19.439;
2 1 4 19.439;
2 1 5 19.439;
2 1 6 19.439;
2 1 7 19.439;
2 1 8 19.439;
2 2 1 18.584;
2 2 2 18.584;
2 2 3 18.584;
2 2 4 18.584;
2 2 5 18.584;
2 2 6 18.584;
2 2 7 18.584;
2 2 8 18.584;
3 1 1 26.676;
3 1 2 26.676;
3 1 3 26.676;
3 1 4 26.676;
3 1 5 26.676;
3 1 6 26.676;
3 1 7 26.676;
3 1 8 26.676;
3 2 1 14.443;
3 2 2 14.443;
3 2 3 14.443;
3 2 4 14.443;
3 2 5 14.443;
3 2 6 14.443;
3 2 7 14.443;
3 2 8 14.443;
4 1 1 17.064;
4 1 2 17.064;
4 1 3 17.064;
4 1 4 17.064;
4 1 5 17.064;
4 1 6 17.064;
4 1 7 17.064;
4 1 8 17.064;
4 2 1 18.492;
4 2 2 18.492;
4 2 3 18.492;
4 2 4 18.492;
4 2 5 18.492;
4 2 6 18.492;
4 2 7 18.492;
4 2 8 18.492;
5 1 1 16.632;
5 1 2 16.632;
5 1 3 16.632;
5 1 4 16.632;
5 1 5 16.632;
5 1 6 16.632;
