###################################################
# Classe 18 : K = 4, M = 2, T = 12, N = 20
# Exemplo: 8.   Nome do arquivo: c18ex08.dat          Semente: 4203

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [59, 59, 64, 64, 74, 75, 86, 88, 113, 116, 119, 124, 131, 145, 145, 145, 146, 146, 149, 149] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.952;
1 1 2 20.952;
1 1 3 20.952;
1 1 4 20.952;
1 1 5 20.952;
1 1 6 20.952;
1 1 7 20.952;
1 1 8 20.952;
1 1 9 20.952;
1 1 10 20.952;
1 1 11 20.952;
1 1 12 20.952;
1 2 1 17.296;
1 2 2 17.296;
1 2 3 17.296;
1 2 4 17.296;
1 2 5 17.296;
1 2 6 17.296;
1 2 7 17.296;
1 2 8 17.296;
1 2 9 17.296;
1 2 10 17.296;
1 2 11 17.296;
1 2 12 17.296;
2 1 1 27.0;
2 1 2 27.0;
2 1 3 27.0;
2 1 4 27.0;
2 1 5 27.0;
2 1 6 27.0;
2 1 7 27.0;
2 1 8 27.0;
2 1 9 27.0;
2 1 10 27.0;
2 1 11 27.0;
2 1 12 27.0;
2 2 1 17.204;
2 2 2 17.204;
2 2 3 17.204;
2 2 4 17.204;
2 2 5 17.204;
2 2 6 17.204;
2 2 7 17.204;
2 2 8 17.204;
2 2 9 17.204;
2 2 10 17.204;
2 2 11 17.204;
2 2 12 17.204;
3 1 1 19.439;
3 1 2 19.439;
3 1 3 19.439;
3 1 4 19.439;
3 1 5 19.439;
3 1 6 19.439;
3 1 7 19.439;
3 1 8 19.439;
3 1 9 19.439;
3 1 10 19.439;
3 1 11 19.439;
3 1 12 19.439;
3 2 1 14.536;
3 2 2 14.536;
3 2 3 14.536;
3 2 4 14.536;
3 2 5 14.536;
3 2 6 14.536;
3 2 7 14.536;
3 2 8 14.536;
3 2 9 14.536;
3 2 10 14.536;
