###################################################
# Classe 11 : K = 4, M = 2, T = 8, N = 10
# Exemplo: 6.   Nome do arquivo: c11ex06.dat          Semente: 1033

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 69, 70, 91, 92, 98, 115, 137, 139, 144] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.355;
1 1 2 22.355;
1 1 3 22.355;
1 1 4 22.355;
1 1 5 22.355;
1 1 6 22.355;
1 1 7 22.355;
1 1 8 22.355;
1 2 1 20.24;
1 2 2 20.24;
1 2 3 20.24;
1 2 4 20.24;
1 2 5 20.24;
1 2 6 20.24;
1 2 7 20.24;
1 2 8 20.24;
2 1 1 22.14;
2 1 2 22.14;
2 1 3 22.14;
2 1 4 22.14;
2 1 5 22.14;
2 1 6 22.14;
2 1 7 22.14;
2 1 8 22.14;
2 2 1 17.663;
2 2 2 17.663;
2 2 3 17.663;
2 2 4 17.663;
2 2 5 17.663;
2 2 6 17.663;
2 2 7 17.663;
2 2 8 17.663;
3 1 1 19.116;
3 1 2 19.116;
3 1 3 19.116;
3 1 4 19.116;
3 1 5 19.116;
3 1 6 19.116;
3 1 7 19.116;
3 1 8 19.116;
3 2 1 18.308;
3 2 2 18.308;
3 2 3 18.308;
3 2 4 18.308;
3 2 5 18.308;
3 2 6 18.308;
3 2 7 18.308;
3 2 8 18.308;
4 1 1 19.116;
4 1 2 19.116;
4 1 3 19.116;
4 1 4 19.116;
4 1 5 19.116;
4 1 6 19.116;
4 1 7 19.116;
4 1 8 19.116;
4 2 1 22.907;
4 2 2 22.907;
4 2 3 22.907;
4 2 4 22.907;
4 2 5 22.907;
4 2 6 22.907;
4 2 7 22.907;
4 2 8 22.907;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.012;
1 1 2 0.012;
1 1 3 0.012;
1 1 4 0.012;
1 1 5 0.012;
1 1 6 0.012;
