###################################################
# Classe 10 : K = 4, M = 2, T = 8, N = 5
# Exemplo: 9.   Nome do arquivo: c10ex09.dat          Semente: 8555

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [74, 74, 91, 93, 119] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.844;
1 1 2 20.844;
1 1 3 20.844;
1 1 4 20.844;
1 1 5 20.844;
1 1 6 20.844;
1 1 7 20.844;
1 1 8 20.844;
1 2 1 21.252;
1 2 2 21.252;
1 2 3 21.252;
1 2 4 21.252;
1 2 5 21.252;
1 2 6 21.252;
1 2 7 21.252;
1 2 8 21.252;
2 1 1 20.412;
2 1 2 20.412;
2 1 3 20.412;
2 1 4 20.412;
2 1 5 20.412;
2 1 6 20.412;
2 1 7 20.412;
2 1 8 20.412;
2 2 1 20.976;
2 2 2 20.976;
2 2 3 20.976;
2 2 4 20.976;
2 2 5 20.976;
2 2 6 20.976;
2 2 7 20.976;
2 2 8 20.976;
3 1 1 16.416;
3 1 2 16.416;
3 1 3 16.416;
3 1 4 16.416;
3 1 5 16.416;
3 1 6 16.416;
3 1 7 16.416;
3 1 8 16.416;
3 2 1 20.608;
3 2 2 20.608;
3 2 3 20.608;
3 2 4 20.608;
3 2 5 20.608;
3 2 6 20.608;
3 2 7 20.608;
3 2 8 20.608;
4 1 1 20.412;
4 1 2 20.412;
4 1 3 20.412;
4 1 4 20.412;
4 1 5 20.412;
4 1 6 20.412;
4 1 7 20.412;
4 1 8 20.412;
4 2 1 21.528;
4 2 2 21.528;
4 2 3 21.528;
4 2 4 21.528;
4 2 5 21.528;
4 2 6 21.528;
4 2 7 21.528;
4 2 8 21.528;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.013;
1 1 2 0.013;
1 1 3 0.013;
1 1 4 0.013;
1 1 5 0.013;
1 1 6 0.013;
1 1 7 0.013;
