###################################################
# Classe 25 : K = 6, M = 2, T = 12, N = 5
# Exemplo: 10.   Nome do arquivo: c25ex10.dat          Semente: 5372

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [71, 95, 102, 110, 145] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 21.816;
1 1 2 21.816;
1 1 3 21.816;
1 1 4 21.816;
1 1 5 21.816;
1 1 6 21.816;
1 1 7 21.816;
1 1 8 21.816;
1 1 9 21.816;
1 1 10 21.816;
1 1 11 21.816;
1 1 12 21.816;
1 2 1 20.056;
1 2 2 20.056;
1 2 3 20.056;
1 2 4 20.056;
1 2 5 20.056;
1 2 6 20.056;
1 2 7 20.056;
1 2 8 20.056;
1 2 9 20.056;
1 2 10 20.056;
1 2 11 20.056;
1 2 12 20.056;
2 1 1 23.436;
2 1 2 23.436;
2 1 3 23.436;
2 1 4 23.436;
2 1 5 23.436;
2 1 6 23.436;
2 1 7 23.436;
2 1 8 23.436;
2 1 9 23.436;
2 1 10 23.436;
2 1 11 23.436;
2 1 12 23.436;
2 2 1 15.272;
2 2 2 15.272;
2 2 3 15.272;
2 2 4 15.272;
2 2 5 15.272;
2 2 6 15.272;
2 2 7 15.272;
2 2 8 15.272;
2 2 9 15.272;
2 2 10 15.272;
2 2 11 15.272;
2 2 12 15.272;
3 1 1 24.948;
3 1 2 24.948;
3 1 3 24.948;
3 1 4 24.948;
3 1 5 24.948;
3 1 6 24.948;
3 1 7 24.948;
3 1 8 24.948;
3 1 9 24.948;
3 1 10 24.948;
3 1 11 24.948;
3 1 12 24.948;
3 2 1 22.355;
3 2 2 22.355;
3 2 3 22.355;
3 2 4 22.355;
3 2 5 22.355;
3 2 6 22.355;
3 2 7 22.355;
3 2 8 22.355;
3 2 9 22.355;
3 2 10 22.355;
3 2 11 22.355;
