###################################################
# Classe 23 : K = 6, M = 2, T = 10, N = 10
# Exemplo: 3.   Nome do arquivo: c23ex03.dat          Semente: 3024

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 10 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [59, 65, 76, 83, 87, 102, 108, 110, 114, 122] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 19.656;
1 1 2 19.656;
1 1 3 19.656;
1 1 4 19.656;
1 1 5 19.656;
1 1 6 19.656;
1 1 7 19.656;
1 1 8 19.656;
1 1 9 19.656;
1 1 10 19.656;
1 2 1 22.632;
1 2 2 22.632;
1 2 3 22.632;
1 2 4 22.632;
1 2 5 22.632;
1 2 6 22.632;
1 2 7 22.632;
1 2 8 22.632;
1 2 9 22.632;
1 2 10 22.632;
2 1 1 17.28;
2 1 2 17.28;
2 1 3 17.28;
2 1 4 17.28;
2 1 5 17.28;
2 1 6 17.28;
2 1 7 17.28;
2 1 8 17.28;
2 1 9 17.28;
2 1 10 17.28;
2 2 1 14.168;
2 2 2 14.168;
2 2 3 14.168;
2 2 4 14.168;
2 2 5 14.168;
2 2 6 14.168;
2 2 7 14.168;
2 2 8 14.168;
2 2 9 14.168;
2 2 10 14.168;
3 1 1 16.956;
3 1 2 16.956;
3 1 3 16.956;
3 1 4 16.956;
3 1 5 16.956;
3 1 6 16.956;
3 1 7 16.956;
3 1 8 16.956;
3 1 9 16.956;
3 1 10 16.956;
3 2 1 15.915;
3 2 2 15.915;
3 2 3 15.915;
3 2 4 15.915;
3 2 5 15.915;
3 2 6 15.915;
3 2 7 15.915;
3 2 8 15.915;
3 2 9 15.915;
3 2 10 15.915;
4 1 1 16.2;
4 1 2 16.2;
4 1 3 16.2;
4 1 4 16.2;
4 1 5 16.2;
4 1 6 16.2;
4 1 7 16.2;
4 1 8 16.2;
4 1 9 16.2;
4 1 10 16.2;
