###################################################
# Classe 10 : K = 4, M = 2, T = 8, N = 5
# Exemplo: 1.   c10ex01.dat          Semente: 1000
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 8
global N = 5

global L = [540, 460]

global l = [70, 102, 105, 113, 114]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [51.84 44.16; 51.84 44.16; 51.84 44.16; 51.84 44.16]

global c_km = [37.8 27.6; 50.76 28.52; 51.84 18.4; 34.56 45.08]

global p_km = [3.78 2.76; 5.076 2.852; 5.184 1.84; 3.456 4.508]

global c_x = [
1 1 1 19.332;
1 1 2 19.332;
1 1 3 19.332;
1 1 4 19.332;
1 1 5 19.332;
1 1 6 19.332;
1 1 7 19.332;
1 1 8 19.332;
1 2 1 18.676;
1 2 2 18.676;
1 2 3 18.676;
1 2 4 18.676;
1 2 5 18.676;
1 2 6 18.676;
1 2 7 18.676;
1 2 8 18.676;
2 1 1 26.46;
2 1 2 26.46;
2 1 3 26.46;
2 1 4 26.46;
2 1 5 26.46;
2 1 6 26.46;
2 1 7 26.46;
2 1 8 26.46;
2 2 1 17.848;
2 2 2 17.848;
2 2 3 17.848;
2 2 4 17.848;
2 2 5 17.848;
2 2 6 17.848;
2 2 7 17.848;
2 2 8 17.848;
3 1 1 21.492;
3 1 2 21.492;
3 1 3 21.492;
3 1 4 21.492;
3 1 5 21.492;
3 1 6 21.492;
3 1 7 21.492;
3 1 8 21.492;
3 2 1 19.779;
3 2 2 19.779;
3 2 3 19.779;
3 2 4 19.779;
3 2 5 19.779;
3 2 6 19.779;
3 2 7 19.779;
3 2 8 19.779;
4 1 1 19.872;
4 1 2 19.872;
4 1 3 19.872;
4 1 4 19.872;
4 1 5 19.872;
4 1 6 19.872;
4 1 7 19.872;
4 1 8 19.872;
4 2 1 15.915;
4 2 2 15.915;
4 2 3 15.915;
4 2 4 15.915;
4 2 5 15.915;
4 2 6 15.915;
4 2 7 15.915;
4 2 8 15.915;
]

global c_z = [
1 1 1 0.735;
1 1 2 0.735;
1 1 3 0.735;
1 1 4 0.735;
1 1 5 0.735;
1 1 6 0.735;
1 1 7 0.735;
1 1 8 0.735;
1 2 1 0.915;
1 2 2 0.915;
1 2 3 0.915;
1 2 4 0.915;
1 2 5 0.915;
1 2 6 0.915;
1 2 7 0.915;
1 2 8 0.915;
2 1 1 0.847;
2 1 2 0.847;
2 1 3 0.847;
2 1 4 0.847;
2 1 5 0.847;
2 1 6 0.847;
2 1 7 0.847;
2 1 8 0.847;
2 2 1 0.625;
2 2 2 0.625;
2 2 3 0.625;
2 2 4 0.625;
2 2 5 0.625;
2 2 6 0.625;
2 2 7 0.625;
2 2 8 0.625;
3 1 1 0.731;
3 1 2 0.731;
3 1 3 0.731;
3 1 4 0.731;
3 1 5 0.731;
3 1 6 0.731;
3 1 7 0.731;
3 1 8 0.731;
3 2 1 0.672;
3 2 2 0.672;
3 2 3 0.672;
3 2 4 0.672;
3 2 5 0.672;
3 2 6 0.672;
3 2 7 0.672;
3 2 8 0.672;
4 1 1 0.854;
4 1 2 0.854;
4 1 3 0.854;
4 1 4 0.854;
4 1 5 0.854;
4 1 6 0.854;
4 1 7 0.854;
4 1 8 0.854;
4 2 1 0.589;
4 2 2 0.589;
4 2 3 0.589;
4 2 4 0.589;
4 2 5 0.589;
4 2 6 0.589;
4 2 7 0.589;
4 2 8 0.589;
]

global c_y = [
1 1 1 2.9;
1 1 2 2.9;
1 1 3 2.9;
1 1 4 2.9;
1 1 5 2.9;
1 1 6 2.9;
1 1 7 2.9;
1 1 8 2.9;
1 2 1 1.868;
1 2 2 1.868;
1 2 3 1.868;
1 2 4 1.868;
1 2 5 1.868;
1 2 6 1.868;
1 2 7 1.868;
1 2 8 1.868;
2 1 1 3.175;
2 1 2 3.175;
2 1 3 3.175;
2 1 4 3.175;
2 1 5 3.175;
2 1 6 3.175;
2 1 7 3.175;
2 1 8 3.175;
2 2 1 2.32;
2 2 2 2.32;
2 2 3 2.32;
2 2 4 2.32;
