###################################################
# Classe 12 : K = 4, M = 2, T = 8, N = 20
# Exemplo: 6.   Nome do arquivo: c12ex06.dat          Semente: 3301

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [52, 57, 58, 58, 77, 86, 89, 90, 91, 99, 105, 121, 132, 132, 134, 140, 141, 146, 149, 150] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.248;
1 1 2 22.248;
1 1 3 22.248;
1 1 4 22.248;
1 1 5 22.248;
1 1 6 22.248;
1 1 7 22.248;
1 1 8 22.248;
1 2 1 15.64;
1 2 2 15.64;
1 2 3 15.64;
1 2 4 15.64;
1 2 5 15.64;
1 2 6 15.64;
1 2 7 15.64;
1 2 8 15.64;
2 1 1 16.524;
2 1 2 16.524;
2 1 3 16.524;
2 1 4 16.524;
2 1 5 16.524;
2 1 6 16.524;
2 1 7 16.524;
2 1 8 16.524;
2 2 1 21.528;
2 2 2 21.528;
2 2 3 21.528;
2 2 4 21.528;
2 2 5 21.528;
2 2 6 21.528;
2 2 7 21.528;
2 2 8 21.528;
3 1 1 24.84;
3 1 2 24.84;
3 1 3 24.84;
3 1 4 24.84;
3 1 5 24.84;
3 1 6 24.84;
3 1 7 24.84;
3 1 8 24.84;
3 2 1 22.355;
3 2 2 22.355;
3 2 3 22.355;
3 2 4 22.355;
3 2 5 22.355;
3 2 6 22.355;
3 2 7 22.355;
3 2 8 22.355;
4 1 1 19.98;
4 1 2 19.98;
4 1 3 19.98;
4 1 4 19.98;
4 1 5 19.98;
4 1 6 19.98;
4 1 7 19.98;
4 1 8 19.98;
4 2 1 16.836;
4 2 2 16.836;
4 2 3 16.836;
4 2 4 16.836;
4 2 5 16.836;
4 2 6 16.836;
4 2 7 16.836;
4 2 8 16.836;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.01;
1 1 2 0.01;
1 1 3 0.01;
