###################################################
# Classe 9 : K = 2, M = 2, T = 12, N = 20
# Exemplo: 8.   c9ex08.dat          Semente: 9868
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 12
global N = 20

global L = [540, 460]

global l = [57, 62, 62, 72, 74, 84, 106, 111, 117, 119, 121, 121, 125, 125, 128, 137, 142, 143, 147, 147]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [10.8 9.2; 10.8 9.2]

global c_km = [28.08 40.48; 51.84 22.08]

global p_km = [3.763 5.424; 6.947 2.959]

global c_x = [
1 1 1 20.196;
1 1 2 20.196;
1 1 3 20.196;
1 1 4 20.196;
1 1 5 20.196;
1 1 6 20.196;
1 1 7 20.196;
1 1 8 20.196;
1 1 9 20.196;
1 1 10 20.196;
1 1 11 20.196;
1 1 12 20.196;
1 2 1 19.688;
1 2 2 19.688;
1 2 3 19.688;
1 2 4 19.688;
1 2 5 19.688;
1 2 6 19.688;
1 2 7 19.688;
1 2 8 19.688;
1 2 9 19.688;
1 2 10 19.688;
1 2 11 19.688;
1 2 12 19.688;
2 1 1 23.436;
2 1 2 23.436;
2 1 3 23.436;
2 1 4 23.436;
2 1 5 23.436;
2 1 6 23.436;
2 1 7 23.436;
2 1 8 23.436;
2 1 9 23.436;
2 1 10 23.436;
2 1 11 23.436;
2 1 12 23.436;
2 2 1 19.136;
2 2 2 19.136;
2 2 3 19.136;
2 2 4 19.136;
2 2 5 19.136;
2 2 6 19.136;
2 2 7 19.136;
2 2 8 19.136;
2 2 9 19.136;
2 2 10 19.136;
2 2 11 19.136;
2 2 12 19.136;
]

global c_z = [
1 1 1 0.848;
1 1 2 0.848;
1 1 3 0.848;
1 1 4 0.848;
1 1 5 0.848;
1 1 6 0.848;
1 1 7 0.848;
1 1 8 0.848;
1 1 9 0.848;
1 1 10 0.848;
1 1 11 0.848;
1 1 12 0.848;
1 2 1 0.788;
1 2 2 0.788;
1 2 3 0.788;
1 2 4 0.788;
1 2 5 0.788;
1 2 6 0.788;
1 2 7 0.788;
1 2 8 0.788;
1 2 9 0.788;
1 2 10 0.788;
1 2 11 0.788;
1 2 12 0.788;
2 1 1 0.984;
2 1 2 0.984;
2 1 3 0.984;
2 1 4 0.984;
2 1 5 0.984;
2 1 6 0.984;
2 1 7 0.984;
2 1 8 0.984;
2 1 9 0.984;
