###################################################
# Classe 3 : K = 2, M = 2, T = 8, N = 20
# Exemplo: 10.   c3ex10.dat          Semente: 9999
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 8
global N = 20

global L = [540, 460]

global l = [59, 60, 67, 70, 71, 73, 76, 87, 88, 90, 96, 97, 108, 109, 121, 124, 132, 134, 137, 146]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [52.92 45.08; 52.92 45.08]

global c_km = [36.72 39.56; 25.92 22.08]

global p_km = [5.398 5.815; 3.81 3.246]

global c_x = [
1 1 1 17.712;
1 1 2 17.712;
1 1 3 17.712;
1 1 4 17.712;
1 1 5 17.712;
1 1 6 17.712;
1 1 7 17.712;
1 1 8 17.712;
1 2 1 18.4;
1 2 2 18.4;
1 2 3 18.4;
1 2 4 18.4;
1 2 5 18.4;
1 2 6 18.4;
1 2 7 18.4;
1 2 8 18.4;
2 1 1 17.064;
2 1 2 17.064;
2 1 3 17.064;
2 1 4 17.064;
2 1 5 17.064;
2 1 6 17.064;
2 1 7 17.064;
2 1 8 17.064;
2 2 1 20.608;
2 2 2 20.608;
2 2 3 20.608;
2 2 4 20.608;
2 2 5 20.608;
2 2 6 20.608;
2 2 7 20.608;
2 2 8 20.608;
]

global c_z = [
1 1 1 0.815;
1 1 2 0.815;
1 1 3 0.815;
1 1 4 0.815;
1 1 5 0.815;
1 1 6 0.815;
1 1 7 0.815;
1 1 8 0.815;
1 2 1 0.718;
1 2 2 0.718;
1 2 3 0.718;
1 2 4 0.718;
1 2 5 0.718;
1 2 6 0.718;
1 2 7 0.718;
1 2 8 0.718;
2 1 1 0.683;
2 1 2 0.683;
2 1 3 0.683;
2 1 4 0.683;
2 1 5 0.683;
2 1 6 0.683;
2 1 7 0.683;
2 1 8 0.683;
2 2 1 0.907;
2 2 2 0.907;
2 2 3 0.907;
2 2 4 0.907;
2 2 5 0.907;
2 2 6 0.907;
2 2 7 0.907;
2 2 8 0.907;
]

global c_y = [
1 1 1 2.657;
1 1 2 2.657;
1 1 3 2.657;
1 1 4 2.657;
1 1 5 2.657;
1 1 6 2.657;
1 1 7 2.657;
1 1 8 2.657;
1 2 1 2.76;
1 2 2 2.76;
1 2 3 2.76;
1 2 4 2.76;
1 2 5 2.76;
1 2 6 2.76;
1 2 7 2.76;
1 2 8 2.76;
2 1 1 2.56;
2 1 2 2.56;
2 1 3 2.56;
2 1 4 2.56;
2 1 5 2.56;
2 1 6 2.56;
2 1 7 2.56;
2 1 8 2.56;
2 2 1 2.061;
2 2 2 2.061;
2 2 3 2.061;
2 2 4 2.061;
2 2 5 2.061;
2 2 6 2.061;
2 2 7 2.061;
2 2 8 2.061;
]

global c_sc = [
1 1 1 0.122;
1 1 2 0.122;
1 1 3 0.122;
1 1 4 0.122;
1 1 5 0.122;
1 1 6 0.122;
1 1 7 0.122;
1 1 8 0.122;
1 2 1 0.13;
1 2 2 0.13;
1 2 3 0.13;
1 2 4 0.13;
1 2 5 0.13;
1 2 6 0.13;
1 2 7 0.13;
1 2 8 0.13;
