###################################################
# Classe 21 : K = 6, M = 2, T = 8, N = 20
# Exemplo: 10.   Nome do arquivo: c21ex10.dat          Semente: 8000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 20 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [52, 53, 55, 57, 68, 76, 83, 89, 102, 108, 110, 112, 112, 116, 117, 126, 129, 134, 138, 148] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 21.924;
1 1 2 21.924;
1 1 3 21.924;
1 1 4 21.924;
1 1 5 21.924;
1 1 6 21.924;
1 1 7 21.924;
1 1 8 21.924;
1 2 1 18.676;
1 2 2 18.676;
1 2 3 18.676;
1 2 4 18.676;
1 2 5 18.676;
1 2 6 18.676;
1 2 7 18.676;
1 2 8 18.676;
2 1 1 25.704;
2 1 2 25.704;
2 1 3 25.704;
2 1 4 25.704;
2 1 5 25.704;
2 1 6 25.704;
2 1 7 25.704;
2 1 8 25.704;
2 2 1 18.86;
2 2 2 18.86;
2 2 3 18.86;
2 2 4 18.86;
2 2 5 18.86;
2 2 6 18.86;
2 2 7 18.86;
2 2 8 18.86;
3 1 1 20.196;
3 1 2 20.196;
3 1 3 20.196;
3 1 4 20.196;
3 1 5 20.196;
3 1 6 20.196;
3 1 7 20.196;
3 1 8 20.196;
3 2 1 18.676;
3 2 2 18.676;
3 2 3 18.676;
3 2 4 18.676;
3 2 5 18.676;
3 2 6 18.676;
3 2 7 18.676;
3 2 8 18.676;
4 1 1 23.652;
4 1 2 23.652;
4 1 3 23.652;
4 1 4 23.652;
4 1 5 23.652;
4 1 6 23.652;
4 1 7 23.652;
4 1 8 23.652;
4 2 1 17.663;
4 2 2 17.663;
4 2 3 17.663;
4 2 4 17.663;
4 2 5 17.663;
4 2 6 17.663;
4 2 7 17.663;
4 2 8 17.663;
5 1 1 23.759;
5 1 2 23.759;
5 1 3 23.759;
