###################################################
# Classe 17 : K = 4, M = 2, T = 12, N = 10
# Exemplo: 5.   Nome do arquivo: c17ex05.dat          Semente: 2000

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [81, 98, 108, 121, 129, 130, 142, 145, 149, 150] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 26.46;
1 1 2 26.46;
1 1 3 26.46;
1 1 4 26.46;
1 1 5 26.46;
1 1 6 26.46;
1 1 7 26.46;
1 1 8 26.46;
1 1 9 26.46;
1 1 10 26.46;
1 1 11 26.46;
1 1 12 26.46;
1 2 1 17.204;
1 2 2 17.204;
1 2 3 17.204;
1 2 4 17.204;
1 2 5 17.204;
1 2 6 17.204;
1 2 7 17.204;
1 2 8 17.204;
1 2 9 17.204;
1 2 10 17.204;
1 2 11 17.204;
1 2 12 17.204;
2 1 1 25.272;
2 1 2 25.272;
2 1 3 25.272;
2 1 4 25.272;
2 1 5 25.272;
2 1 6 25.272;
2 1 7 25.272;
2 1 8 25.272;
2 1 9 25.272;
2 1 10 25.272;
2 1 11 25.272;
2 1 12 25.272;
2 2 1 13.799;
2 2 2 13.799;
2 2 3 13.799;
2 2 4 13.799;
2 2 5 13.799;
2 2 6 13.799;
2 2 7 13.799;
2 2 8 13.799;
2 2 9 13.799;
2 2 10 13.799;
2 2 11 13.799;
2 2 12 13.799;
3 1 1 18.252;
3 1 2 18.252;
3 1 3 18.252;
3 1 4 18.252;
3 1 5 18.252;
3 1 6 18.252;
3 1 7 18.252;
3 1 8 18.252;
3 1 9 18.252;
3 1 10 18.252;
3 1 11 18.252;
3 1 12 18.252;
3 2 1 16.652;
3 2 2 16.652;
3 2 3 16.652;
3 2 4 16.652;
3 2 5 16.652;
3 2 6 16.652;
3 2 7 16.652;
3 2 8 16.652;
3 2 9 16.652;
3 2 10 16.652;
3 2 11 16.652;
3 2 12 16.652;
4 1 1 19.439;
