###################################################
# Classe 23 : K = 6, M = 2, T = 10, N = 10
# Exemplo: 8.   Nome do arquivo: c23ex08.dat          Semente: 9868

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 10 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [62, 73, 74, 84, 118, 121, 122, 137, 143, 148] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 24.407;
1 1 2 24.407;
1 1 3 24.407;
1 1 4 24.407;
1 1 5 24.407;
1 1 6 24.407;
1 1 7 24.407;
1 1 8 24.407;
1 1 9 24.407;
1 1 10 24.407;
1 2 1 14.904;
1 2 2 14.904;
1 2 3 14.904;
1 2 4 14.904;
1 2 5 14.904;
1 2 6 14.904;
1 2 7 14.904;
1 2 8 14.904;
1 2 9 14.904;
1 2 10 14.904;
2 1 1 22.788;
2 1 2 22.788;
2 1 3 22.788;
2 1 4 22.788;
2 1 5 22.788;
2 1 6 22.788;
2 1 7 22.788;
2 1 8 22.788;
2 1 9 22.788;
2 1 10 22.788;
2 2 1 21.068;
2 2 2 21.068;
2 2 3 21.068;
2 2 4 21.068;
2 2 5 21.068;
2 2 6 21.068;
2 2 7 21.068;
2 2 8 21.068;
2 2 9 21.068;
2 2 10 21.068;
3 1 1 24.407;
3 1 2 24.407;
3 1 3 24.407;
3 1 4 24.407;
3 1 5 24.407;
3 1 6 24.407;
3 1 7 24.407;
3 1 8 24.407;
3 1 9 24.407;
3 1 10 24.407;
3 2 1 22.448;
3 2 2 22.448;
3 2 3 22.448;
3 2 4 22.448;
3 2 5 22.448;
3 2 6 22.448;
3 2 7 22.448;
3 2 8 22.448;
3 2 9 22.448;
3 2 10 22.448;
4 1 1 16.956;
4 1 2 16.956;
4 1 3 16.956;
4 1 4 16.956;
4 1 5 16.956;
4 1 6 16.956;
4 1 7 16.956;
4 1 8 16.956;
4 1 9 16.956;
4 1 10 16.956;
