###################################################
# Classe 7 : K = 2, M = 2, T = 12, N = 5
# Exemplo: 5.   c7ex05.dat          Semente: 9999
#-----------------------Dados----------------------
global K = 2
global M = 2
global T = 12
global N = 5

global L = [540, 460]

global l = [59, 88, 90, 96, 146]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0]

global f = [31.32 26.68; 31.32 26.68]

global c_km = [49.68 39.56; 27.0 24.84]

global p_km = [6.756 5.38; 3.672 3.378]

global c_x = [
1 1 1 19.116;
1 1 2 19.116;
1 1 3 19.116;
1 1 4 19.116;
1 1 5 19.116;
1 1 6 19.116;
1 1 7 19.116;
1 1 8 19.116;
1 1 9 19.116;
1 1 10 19.116;
1 1 11 19.116;
1 1 12 19.116;
1 2 1 21.343;
1 2 2 21.343;
1 2 3 21.343;
1 2 4 21.343;
1 2 5 21.343;
1 2 6 21.343;
1 2 7 21.343;
1 2 8 21.343;
1 2 9 21.343;
1 2 10 21.343;
1 2 11 21.343;
1 2 12 21.343;
2 1 1 25.272;
2 1 2 25.272;
2 1 3 25.272;
2 1 4 25.272;
2 1 5 25.272;
2 1 6 25.272;
2 1 7 25.272;
2 1 8 25.272;
2 1 9 25.272;
2 1 10 25.272;
2 1 11 25.272;
2 1 12 25.272;
2 2 1 17.204;
2 2 2 17.204;
2 2 3 17.204;
2 2 4 17.204;
2 2 5 17.204;
2 2 6 17.204;
2 2 7 17.204;
2 2 8 17.204;
2 2 9 17.204;
2 2 10 17.204;
2 2 11 17.204;
2 2 12 17.204;
]

global c_z = [
1 1 1 0.803;
1 1 2 0.803;
1 1 3 0.803;
1 1 4 0.803;
1 1 5 0.803;
1 1 6 0.803;
1 1 7 0.803;
1 1 8 0.803;
1 1 9 0.803;
1 1 10 0.803;
1 1 11 0.803;
1 1 12 0.803;
1 2 1 0.726;
1 2 2 0.726;
1 2 3 0.726;
1 2 4 0.726;
1 2 5 0.726;
1 2 6 0.726;
1 2 7 0.726;
1 2 8 0.726;
1 2 9 0.726;
1 2 10 0.726;
1 2 11 0.726;
1 2 12 0.726;
2 1 1 0.809;
2 1 2 0.809;
2 1 3 0.809;
2 1 4 0.809;
2 1 5 0.809;
2 1 6 0.809;
2 1 7 0.809;
2 1 8 0.809;
2 1 9 0.809;
2 1 10 0.809;
2 1 11 0.809;
2 1 12 0.809;
2 2 1 0.723;
2 2 2 0.723;
2 2 3 0.723;
2 2 4 0.723;
2 2 5 0.723;
2 2 6 0.723;
2 2 7 0.723;
2 2 8 0.723;
2 2 9 0.723;
2 2 10 0.723;
2 2 11 0.723;
2 2 12 0.723;
]

global c_y = [
1 1 1 2.103;
1 1 2 2.103;
1 1 3 2.103;
1 1 4 2.103;
1 1 5 2.103;
1 1 6 2.103;
1 1 7 2.103;
