###################################################
# Classe 26 : K = 6, M = 2, T = 12, N = 10
# Exemplo: 4.   Nome do arquivo: c26ex04.dat          Semente: 9192

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [54, 64, 72, 87, 88, 92, 109, 110, 136, 141] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 21.6;
1 1 2 21.6;
1 1 3 21.6;
1 1 4 21.6;
1 1 5 21.6;
1 1 6 21.6;
1 1 7 21.6;
1 1 8 21.6;
1 1 9 21.6;
1 1 10 21.6;
1 1 11 21.6;
1 1 12 21.6;
1 2 1 15.915;
1 2 2 15.915;
1 2 3 15.915;
1 2 4 15.915;
1 2 5 15.915;
1 2 6 15.915;
1 2 7 15.915;
1 2 8 15.915;
1 2 9 15.915;
1 2 10 15.915;
1 2 11 15.915;
1 2 12 15.915;
2 1 1 18.9;
2 1 2 18.9;
2 1 3 18.9;
2 1 4 18.9;
2 1 5 18.9;
2 1 6 18.9;
2 1 7 18.9;
2 1 8 18.9;
2 1 9 18.9;
2 1 10 18.9;
2 1 11 18.9;
2 1 12 18.9;
2 2 1 22.08;
2 2 2 22.08;
2 2 3 22.08;
2 2 4 22.08;
2 2 5 22.08;
2 2 6 22.08;
2 2 7 22.08;
2 2 8 22.08;
2 2 9 22.08;
2 2 10 22.08;
2 2 11 22.08;
2 2 12 22.08;
3 1 1 23.328;
3 1 2 23.328;
3 1 3 23.328;
3 1 4 23.328;
3 1 5 23.328;
3 1 6 23.328;
3 1 7 23.328;
3 1 8 23.328;
3 1 9 23.328;
3 1 10 23.328;
3 1 11 23.328;
3 1 12 23.328;
3 2 1 15.732;
3 2 2 15.732;
3 2 3 15.732;
3 2 4 15.732;
3 2 5 15.732;
3 2 6 15.732;
3 2 7 15.732;
3 2 8 15.732;
3 2 9 15.732;
3 2 10 15.732;
