###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 7.   Nome do arquivo: c1ex07.dat          Semente: 7384

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [90, 93, 103, 105, 107] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 26.46;
1 1 2 26.46;
1 1 3 26.46;
1 1 4 26.46;
1 1 5 26.46;
1 1 6 26.46;
1 1 7 26.46;
1 1 8 26.46;
1 2 1 13.799;
1 2 2 13.799;
1 2 3 13.799;
1 2 4 13.799;
1 2 5 13.799;
1 2 6 13.799;
1 2 7 13.799;
1 2 8 13.799;
2 1 1 25.488;
2 1 2 25.488;
2 1 3 25.488;
2 1 4 25.488;
2 1 5 25.488;
2 1 6 25.488;
2 1 7 25.488;
2 1 8 25.488;
2 2 1 20.976;
2 2 2 20.976;
2 2 3 20.976;
2 2 4 20.976;
2 2 5 20.976;
2 2 6 20.976;
2 2 7 20.976;
2 2 8 20.976;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.01;
1 1 2 0.01;
1 1 3 0.01;
1 1 4 0.01;
1 1 5 0.01;
1 1 6 0.01;
1 1 7 0.01;
1 1 8 0.01;
1 2 1 0.009;
1 2 2 0.009;
1 2 3 0.009;
1 2 4 0.009;
1 2 5 0.009;
1 2 6 0.009;
1 2 7 0.009;
1 2 8 0.009;
2 1 1 0.012;
2 1 2 0.012;
2 1 3 0.012;
2 1 4 0.012;
2 1 5 0.012;
2 1 6 0.012;
2 1 7 0.012;
2 1 8 0.012;
2 2 1 0.01;
2 2 2 0.01;
2 2 3 0.01;
2 2 4 0.01;
2 2 5 0.01;
2 2 6 0.01;
2 2 7 0.01;
2 2 8 0.01;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 1.164;
1 1 2 1.164;
1 1 3 1.164;
1 1 4 1.164;
1 1 5 1.164;
1 1 6 1.164;
1 1 7 1.164;
1 1 8 1.164;
1 2 1 0.649;
1 2 2 0.649;
1 2 3 0.649;
1 2 4 0.649;
1 2 5 0.649;
1 2 6 0.649;
1 2 7 0.649;
1 2 8 0.649;
2 1 1 0.816;
2 1 2 0.816;
2 1 3 0.816;
2 1 4 0.816;
2 1 5 0.816;
2 1 6 0.816;
2 1 7 0.816;
2 1 8 0.816;
2 2 1 0.986;
2 2 2 0.986;
2 2 3 0.986;
2 2 4 0.986;
2 2 5 0.986;
2 2 6 0.986;
2 2 7 0.986;
2 2 8 0.986;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 2.911;
1 1 2 2.911;
1 1 3 2.911;
1 1 4 2.911;
1 1 5 2.911;
1 1 6 2.911;
1 1 7 2.911;
1 1 8 2.911;
1 2 1 2.07;
1 2 2 2.07;
1 2 3 2.07;
1 2 4 2.07;
1 2 5 2.07;
1 2 6 2.07;
1 2 7 2.07;
1 2 8 2.07;
2 1 1 2.549;
2 1 2 2.549;
2 1 3 2.549;
2 1 4 2.549;
2 1 5 2.549;
2 1 6 2.549;
2 1 7 2.549;
2 1 8 2.549;
2 2 1 2.307;
2 2 2 2.307;
2 2 3 2.307;
2 2 4 2.307;
2 2 5 2.307;
2 2 6 2.307;
2 2 7 2.307;
2 2 8 2.307;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.005;
1 1 2 0.005;
1 1 3 0.005;
1 1 4 0.005;
1 1 5 0.005;
1 1 6 0.005;
1 1 7 0.005;
1 1 8 0.005;
1 2 1 0.006;
1 2 2 0.006;
1 2 3 0.006;
1 2 4 0.006;
1 2 5 0.006;
1 2 6 0.006;
1 2 7 0.006;
1 2 8 0.006;
2 1 1 0.005;
2 1 2 0.005;
2 1 3 0.005;
2 1 4 0.005;
2 1 5 0.005;
2 1 6 0.005;
2 1 7 0.005;
2 1 8 0.005;
2 2 1 0.006;
2 2 2 0.006;
2 2 3 0.006;
2 2 4 0.006;
2 2 5 0.006;
2 2 6 0.006;
2 2 7 0.006;
2 2 8 0.006;
3 1 1 0.005;
3 1 2 0.005;
3 1 3 0.005;
3 1 4 0.005;
3 1 5 0.005;
3 1 6 0.005;
3 1 7 0.005;
3 1 8 0.005;
3 2 1 0.006;
3 2 2 0.006;
3 2 3 0.006;
3 2 4 0.006;
3 2 5 0.006;
3 2 6 0.006;
3 2 7 0.006;
3 2 8 0.006;
4 1 1 0.005;
4 1 2 0.005;
4 1 3 0.005;
4 1 4 0.005;
4 1 5 0.005;
4 1 6 0.005;
4 1 7 0.005;
4 1 8 0.005;
4 2 1 0.006;
4 2 2 0.006;
4 2 3 0.006;
4 2 4 0.006;
4 2 5 0.006;
4 2 6 0.006;
4 2 7 0.006;
4 2 8 0.006;
5 1 1 0.005;
5 1 2 0.005;
5 1 3 0.005;
5 1 4 0.005;
5 1 5 0.005;
5 1 6 0.005;
5 1 7 0.005;
5 1 8 0.005;
5 2 1 0.006;
