###################################################
# Classe 22 : K = 6, M = 2, T = 10, N = 5
# Exemplo: 3.   c22ex03.dat          Semente: 4203
#-----------------------Dados----------------------
global K = 6
global M = 2
global T = 10
global N = 5

global L = [540, 460]

global l = [64, 118, 124, 130, 148]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [21.6 18.4; 21.6 18.4; 21.6 18.4; 21.6 18.4; 21.6 18.4; 21.6 18.4]

global c_km = [29.16 35.88; 23.76 28.52; 33.48 45.08; 52.92 45.08; 52.92 45.08; 25.92 20.24]

global p_km = [4.374 5.382; 3.564 4.278; 5.022 6.762; 7.938 6.762; 7.938 6.762; 3.888 3.036]

global c_x = [
1 1 1 23.328;
1 1 2 23.328;
1 1 3 23.328;
1 1 4 23.328;
1 1 5 23.328;
1 1 6 23.328;
1 1 7 23.328;
1 1 8 23.328;
1 1 9 23.328;
1 1 10 23.328;
1 2 1 17.296;
1 2 2 17.296;
1 2 3 17.296;
1 2 4 17.296;
1 2 5 17.296;
1 2 6 17.296;
1 2 7 17.296;
1 2 8 17.296;
1 2 9 17.296;
1 2 10 17.296;
2 1 1 25.812;
2 1 2 25.812;
2 1 3 25.812;
2 1 4 25.812;
2 1 5 25.812;
2 1 6 25.812;
2 1 7 25.812;
2 1 8 25.812;
2 1 9 25.812;
2 1 10 25.812;
2 2 1 17.204;
2 2 2 17.204;
2 2 3 17.204;
2 2 4 17.204;
2 2 5 17.204;
2 2 6 17.204;
2 2 7 17.204;
2 2 8 17.204;
2 2 9 17.204;
2 2 10 17.204;
3 1 1 20.952;
3 1 2 20.952;
3 1 3 20.952;
3 1 4 20.952;
3 1 5 20.952;
3 1 6 20.952;
3 1 7 20.952;
3 1 8 20.952;
3 1 9 20.952;
3 1 10 20.952;
3 2 1 14.536;
3 2 2 14.536;
3 2 3 14.536;
3 2 4 14.536;
3 2 5 14.536;
3 2 6 14.536;
3 2 7 14.536;
3 2 8 14.536;
3 2 9 14.536;
3 2 10 14.536;
4 1 1 27.0;
4 1 2 27.0;
4 1 3 27.0;
4 1 4 27.0;
4 1 5 27.0;
4 1 6 27.0;
4 1 7 27.0;
4 1 8 27.0;
4 1 9 27.0;
4 1 10 27.0;
4 2 1 15.64;
4 2 2 15.64;
4 2 3 15.64;
4 2 4 15.64;
4 2 5 15.64;
4 2 6 15.64;
4 2 7 15.64;
4 2 8 15.64;
4 2 9 15.64;
4 2 10 15.64;
5 1 1 19.439;
5 1 2 19.439;
5 1 3 19.439;
5 1 4 19.439;
5 1 5 19.439;
5 1 6 19.439;
5 1 7 19.439;
5 1 8 19.439;
5 1 9 19.439;
5 1 10 19.439;
5 2 1 19.504;
5 2 2 19.504;
5 2 3 19.504;
5 2 4 19.504;
5 2 5 19.504;
5 2 6 19.504;
5 2 7 19.504;
5 2 8 19.504;
5 2 9 19.504;
5 2 10 19.504;
6 1 1 22.896;
6 1 2 22.896;
6 1 3 22.896;
6 1 4 22.896;
6 1 5 22.896;
