###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 3.   Nome do arquivo: c1ex03.dat          Semente: 4203

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [64, 119, 124, 131, 149] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 18.9;
1 1 2 18.9;
1 1 3 18.9;
1 1 4 18.9;
1 1 5 18.9;
1 1 6 18.9;
1 1 7 18.9;
1 1 8 18.9;
1 2 1 17.112;
1 2 2 17.112;
1 2 3 17.112;
1 2 4 17.112;
1 2 5 17.112;
1 2 6 17.112;
1 2 7 17.112;
1 2 8 17.112;
2 1 1 17.172;
2 1 2 17.172;
2 1 3 17.172;
2 1 4 17.172;
2 1 5 17.172;
2 1 6 17.172;
2 1 7 17.172;
2 1 8 17.172;
2 2 1 22.54;
2 2 2 22.54;
2 2 3 22.54;
2 2 4 22.54;
2 2 5 22.54;
2 2 6 22.54;
2 2 7 22.54;
2 2 8 22.54;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.013;
1 1 2 0.013;
1 1 3 0.013;
1 1 4 0.013;
1 1 5 0.013;
1 1 6 0.013;
1 1 7 0.013;
1 1 8 0.013;
1 2 1 0.012;
1 2 2 0.012;
1 2 3 0.012;
1 2 4 0.012;
1 2 5 0.012;
1 2 6 0.012;
1 2 7 0.012;
1 2 8 0.012;
2 1 1 0.01;
2 1 2 0.01;
2 1 3 0.01;
2 1 4 0.01;
2 1 5 0.01;
2 1 6 0.01;
2 1 7 0.01;
2 1 8 0.01;
2 2 1 0.008;
2 2 2 0.008;
2 2 3 0.008;
2 2 4 0.008;
2 2 5 0.008;
2 2 6 0.008;
2 2 7 0.008;
2 2 8 0.008;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 0.926;
1 1 2 0.926;
1 1 3 0.926;
1 1 4 0.926;
1 1 5 0.926;
1 1 6 0.926;
1 1 7 0.926;
1 1 8 0.926;
1 2 1 0.736;
1 2 2 0.736;
1 2 3 0.736;
1 2 4 0.736;
1 2 5 0.736;
1 2 6 0.736;
1 2 7 0.736;
1 2 8 0.736;
2 1 1 0.55;
2 1 2 0.55;
2 1 3 0.55;
2 1 4 0.55;
2 1 5 0.55;
2 1 6 0.55;
2 1 7 0.55;
2 1 8 0.55;
2 2 1 0.834;
2 2 2 0.834;
2 2 3 0.834;
2 2 4 0.834;
2 2 5 0.834;
2 2 6 0.834;
2 2 7 0.834;
2 2 8 0.834;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 2.835;
1 1 2 2.835;
1 1 3 2.835;
1 1 4 2.835;
1 1 5 2.835;
1 1 6 2.835;
1 1 7 2.835;
1 1 8 2.835;
1 2 1 2.567;
1 2 2 2.567;
1 2 3 2.567;
1 2 4 2.567;
1 2 5 2.567;
1 2 6 2.567;
1 2 7 2.567;
1 2 8 2.567;
2 1 1 2.576;
2 1 2 2.576;
2 1 3 2.576;
2 1 4 2.576;
2 1 5 2.576;
2 1 6 2.576;
2 1 7 2.576;
2 1 8 2.576;
2 2 1 2.254;
2 2 2 2.254;
2 2 3 2.254;
2 2 4 2.254;
2 2 5 2.254;
2 2 6 2.254;
2 2 7 2.254;
2 2 8 2.254;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.006;
1 1 2 0.006;
1 1 3 0.006;
1 1 4 0.006;
1 1 5 0.006;
1 1 6 0.006;
1 1 7 0.006;
1 1 8 0.006;
1 2 1 0.005;
1 2 2 0.005;
1 2 3 0.005;
1 2 4 0.005;
1 2 5 0.005;
1 2 6 0.005;
1 2 7 0.005;
1 2 8 0.005;
2 1 1 0.006;
2 1 2 0.006;
2 1 3 0.006;
2 1 4 0.006;
2 1 5 0.006;
2 1 6 0.006;
2 1 7 0.006;
2 1 8 0.006;
2 2 1 0.005;
2 2 2 0.005;
2 2 3 0.005;
2 2 4 0.005;
2 2 5 0.005;
2 2 6 0.005;
2 2 7 0.005;
2 2 8 0.005;
3 1 1 0.006;
3 1 2 0.006;
3 1 3 0.006;
3 1 4 0.006;
3 1 5 0.006;
3 1 6 0.006;
3 1 7 0.006;
3 1 8 0.006;
3 2 1 0.005;
3 2 2 0.005;
3 2 3 0.005;
3 2 4 0.005;
3 2 5 0.005;
3 2 6 0.005;
3 2 7 0.005;
3 2 8 0.005;
4 1 1 0.006;
4 1 2 0.006;
4 1 3 0.006;
4 1 4 0.006;
4 1 5 0.006;
4 1 6 0.006;
4 1 7 0.006;
4 1 8 0.006;
4 2 1 0.005;
4 2 2 0.005;
4 2 3 0.005;
4 2 4 0.005;
4 2 5 0.005;
4 2 6 0.005;
4 2 7 0.005;
4 2 8 0.005;
5 1 1 0.006;
5 1 2 0.006;
5 1 3 0.006;
5 1 4 0.006;
5 1 5 0.006;
5 1 6 0.006;
5 1 7 0.006;
5 1 8 0.006;
5 2 1 0.005;
