###################################################
# Classe 14 : K = 4, M = 2, T = 10, N = 10
# Exemplo: 9.   c14ex09.dat          Semente: 7000
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 10

global L = [540, 460]

global l = [63, 65, 69, 73, 89, 100, 124, 132, 134, 145]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [46.44 39.56; 46.44 39.56; 46.44 39.56; 46.44 39.56]

global c_km = [29.16 33.12; 39.96 20.24; 34.56 19.32; 49.68 41.4]

global p_km = [3.412 3.875; 4.675 2.368; 4.044 2.26; 5.813 4.844]

global c_x = [
1 1 1 20.412;
1 1 2 20.412;
1 1 3 20.412;
1 1 4 20.412;
1 1 5 20.412;
1 1 6 20.412;
1 1 7 20.412;
1 1 8 20.412;
1 1 9 20.412;
1 1 10 20.412;
1 2 1 16.652;
1 2 2 16.652;
1 2 3 16.652;
1 2 4 16.652;
1 2 5 16.652;
1 2 6 16.652;
1 2 7 16.652;
1 2 8 16.652;
1 2 9 16.652;
1 2 10 16.652;
2 1 1 23.112;
2 1 2 23.112;
2 1 3 23.112;
2 1 4 23.112;
2 1 5 23.112;
2 1 6 23.112;
2 1 7 23.112;
2 1 8 23.112;
2 1 9 23.112;
2 1 10 23.112;
2 2 1 20.516;
2 2 2 20.516;
2 2 3 20.516;
2 2 4 20.516;
2 2 5 20.516;
2 2 6 20.516;
2 2 7 20.516;
2 2 8 20.516;
2 2 9 20.516;
2 2 10 20.516;
3 1 1 17.172;
3 1 2 17.172;
3 1 3 17.172;
3 1 4 17.172;
3 1 5 17.172;
3 1 6 17.172;
3 1 7 17.172;
3 1 8 17.172;
3 1 9 17.172;
3 1 10 17.172;
3 2 1 20.516;
3 2 2 20.516;
3 2 3 20.516;
3 2 4 20.516;
3 2 5 20.516;
3 2 6 20.516;
3 2 7 20.516;
3 2 8 20.516;
3 2 9 20.516;
3 2 10 20.516;
4 1 1 17.28;
4 1 2 17.28;
4 1 3 17.28;
4 1 4 17.28;
4 1 5 17.28;
4 1 6 17.28;
4 1 7 17.28;
4 1 8 17.28;
4 1 9 17.28;
4 1 10 17.28;
4 2 1 19.964;
4 2 2 19.964;
4 2 3 19.964;
4 2 4 19.964;
4 2 5 19.964;
4 2 6 19.964;
4 2 7 19.964;
4 2 8 19.964;
4 2 9 19.964;
4 2 10 19.964;
]

global c_z = [
1 1 1 0.714;
1 1 2 0.714;
1 1 3 0.714;
1 1 4 0.714;
1 1 5 0.714;
1 1 6 0.714;
1 1 7 0.714;
1 1 8 0.714;
1 1 9 0.714;
1 1 10 0.714;
1 2 1 0.783;
1 2 2 0.783;
1 2 3 0.783;
1 2 4 0.783;
1 2 5 0.783;
1 2 6 0.783;
1 2 7 0.783;
1 2 8 0.783;
1 2 9 0.783;
1 2 10 0.783;
2 1 1 1.156;
2 1 2 1.156;
2 1 3 1.156;
2 1 4 1.156;
2 1 5 1.156;
2 1 6 1.156;
2 1 7 1.156;
2 1 8 1.156;
2 1 9 1.156;
2 1 10 1.156;
