###################################################
# Classe 17 : K = 4, M = 2, T = 12, N = 10
# Exemplo: 2.   Nome do arquivo: c17ex02.dat          Semente: 3006

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [52, 64, 71, 84, 92, 99, 119, 121, 128, 139] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.896;
1 1 2 22.896;
1 1 3 22.896;
1 1 4 22.896;
1 1 5 22.896;
1 1 6 22.896;
1 1 7 22.896;
1 1 8 22.896;
1 1 9 22.896;
1 1 10 22.896;
1 1 11 22.896;
1 1 12 22.896;
1 2 1 18.4;
1 2 2 18.4;
1 2 3 18.4;
1 2 4 18.4;
1 2 5 18.4;
1 2 6 18.4;
1 2 7 18.4;
1 2 8 18.4;
1 2 9 18.4;
1 2 10 18.4;
1 2 11 18.4;
1 2 12 18.4;
2 1 1 21.924;
2 1 2 21.924;
2 1 3 21.924;
2 1 4 21.924;
2 1 5 21.924;
2 1 6 21.924;
2 1 7 21.924;
2 1 8 21.924;
2 1 9 21.924;
2 1 10 21.924;
2 1 11 21.924;
2 1 12 21.924;
2 2 1 18.216;
2 2 2 18.216;
2 2 3 18.216;
2 2 4 18.216;
2 2 5 18.216;
2 2 6 18.216;
2 2 7 18.216;
2 2 8 18.216;
2 2 9 18.216;
2 2 10 18.216;
2 2 11 18.216;
2 2 12 18.216;
3 1 1 19.008;
3 1 2 19.008;
3 1 3 19.008;
3 1 4 19.008;
3 1 5 19.008;
3 1 6 19.008;
3 1 7 19.008;
3 1 8 19.008;
3 1 9 19.008;
3 1 10 19.008;
3 1 11 19.008;
3 1 12 19.008;
3 2 1 20.7;
3 2 2 20.7;
3 2 3 20.7;
3 2 4 20.7;
3 2 5 20.7;
3 2 6 20.7;
3 2 7 20.7;
3 2 8 20.7;
3 2 9 20.7;
3 2 10 20.7;
3 2 11 20.7;
3 2 12 20.7;
4 1 1 18.252;
