###################################################
# Classe 19 : K = 6, M = 2, T = 8, N = 5
# Exemplo: 10.   Nome do arquivo: c19ex10.dat          Semente: 2735

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 93, 110, 111, 138] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 22.032;
1 1 2 22.032;
1 1 3 22.032;
1 1 4 22.032;
1 1 5 22.032;
1 1 6 22.032;
1 1 7 22.032;
1 1 8 22.032;
1 2 1 20.976;
1 2 2 20.976;
1 2 3 20.976;
1 2 4 20.976;
1 2 5 20.976;
1 2 6 20.976;
1 2 7 20.976;
1 2 8 20.976;
2 1 1 21.06;
2 1 2 21.06;
2 1 3 21.06;
2 1 4 21.06;
2 1 5 21.06;
2 1 6 21.06;
2 1 7 21.06;
2 1 8 21.06;
2 2 1 20.424;
2 2 2 20.424;
2 2 3 20.424;
2 2 4 20.424;
2 2 5 20.424;
2 2 6 20.424;
2 2 7 20.424;
2 2 8 20.424;
3 1 1 20.087;
3 1 2 20.087;
3 1 3 20.087;
3 1 4 20.087;
3 1 5 20.087;
3 1 6 20.087;
3 1 7 20.087;
3 1 8 20.087;
3 2 1 17.572;
3 2 2 17.572;
3 2 3 17.572;
3 2 4 17.572;
3 2 5 17.572;
3 2 6 17.572;
3 2 7 17.572;
3 2 8 17.572;
4 1 1 16.848;
4 1 2 16.848;
4 1 3 16.848;
4 1 4 16.848;
4 1 5 16.848;
4 1 6 16.848;
4 1 7 16.848;
4 1 8 16.848;
4 2 1 21.068;
4 2 2 21.068;
4 2 3 21.068;
4 2 4 21.068;
4 2 5 21.068;
4 2 6 21.068;
4 2 7 21.068;
4 2 8 21.068;
5 1 1 26.352;
5 1 2 26.352;
5 1 3 26.352;
5 1 4 26.352;
5 1 5 26.352;
5 1 6 26.352;
5 1 7 26.352;
