###################################################
# Classe 15 : K = 4, M = 2, T = 10, N = 20
# Exemplo: 8.   c15ex08.dat          Semente: 8689
#-----------------------Dados----------------------
global K = 4
global M = 2
global T = 10
global N = 20

global L = [540, 460]

global l = [60, 62, 75, 76, 80, 85, 89, 90, 109, 111, 112, 112, 121, 123, 124, 128, 134, 135, 139, 147]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [43.2 36.8; 43.2 36.8; 43.2 36.8; 43.2 36.8]

global c_km = [50.76 38.64; 42.12 46.0; 33.48 22.08; 29.16 29.44]

global p_km = [6.243 4.753; 5.181 5.658; 4.118 2.716; 3.587 3.621]

global c_x = [
1 1 1 18.035;
1 1 2 18.035;
1 1 3 18.035;
1 1 4 18.035;
1 1 5 18.035;
1 1 6 18.035;
1 1 7 18.035;
1 1 8 18.035;
1 1 9 18.035;
1 1 10 18.035;
1 2 1 14.628;
1 2 2 14.628;
1 2 3 14.628;
1 2 4 14.628;
1 2 5 14.628;
1 2 6 14.628;
1 2 7 14.628;
1 2 8 14.628;
1 2 9 14.628;
1 2 10 14.628;
2 1 1 21.06;
2 1 2 21.06;
2 1 3 21.06;
2 1 4 21.06;
2 1 5 21.06;
2 1 6 21.06;
2 1 7 21.06;
2 1 8 21.06;
2 1 9 21.06;
2 1 10 21.06;
2 2 1 18.492;
2 2 2 18.492;
2 2 3 18.492;
2 2 4 18.492;
2 2 5 18.492;
2 2 6 18.492;
2 2 7 18.492;
2 2 8 18.492;
2 2 9 18.492;
2 2 10 18.492;
3 1 1 18.36;
3 1 2 18.36;
3 1 3 18.36;
3 1 4 18.36;
3 1 5 18.36;
3 1 6 18.36;
3 1 7 18.36;
3 1 8 18.36;
3 1 9 18.36;
3 1 10 18.36;
3 2 1 17.663;
3 2 2 17.663;
3 2 3 17.663;
3 2 4 17.663;
3 2 5 17.663;
3 2 6 17.663;
3 2 7 17.663;
3 2 8 17.663;
3 2 9 17.663;
3 2 10 17.663;
4 1 1 22.355;
4 1 2 22.355;
4 1 3 22.355;
4 1 4 22.355;
4 1 5 22.355;
4 1 6 22.355;
4 1 7 22.355;
4 1 8 22.355;
4 1 9 22.355;
4 1 10 22.355;
4 2 1 21.712;
4 2 2 21.712;
4 2 3 21.712;
4 2 4 21.712;
4 2 5 21.712;
4 2 6 21.712;
4 2 7 21.712;
4 2 8 21.712;
4 2 9 21.712;
4 2 10 21.712;
]

global c_z = [
1 1 1 0.667;
1 1 2 0.667;
1 1 3 0.667;
1 1 4 0.667;
1 1 5 0.667;
1 1 6 0.667;
1 1 7 0.667;
1 1 8 0.667;
1 1 9 0.667;
1 1 10 0.667;
1 2 1 0.614;
1 2 2 0.614;
1 2 3 0.614;
1 2 4 0.614;
1 2 5 0.614;
1 2 6 0.614;
1 2 7 0.614;
1 2 8 0.614;
1 2 9 0.614;
1 2 10 0.614;
2 1 1 0.674;
2 1 2 0.674;
2 1 3 0.674;
2 1 4 0.674;
2 1 5 0.674;
2 1 6 0.674;
2 1 7 0.674;
2 1 8 0.674;
