###################################################
# Classe 24 : K = 6, M = 2, T = 10, N = 20
# Exemplo: 7.   c24ex07.dat          Semente: 3548
#-----------------------Dados----------------------
global K = 6
global M = 2
global T = 10
global N = 20

global L = [540, 460]

global l = [50, 51, 52, 53, 62, 66, 67, 77, 80, 87, 88, 98, 99, 100, 129, 135, 142, 147, 149, 149]

global Q1 = 1e5
global Q2 = 1e5

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0]

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0]

global f = [21.6 18.4; 21.6 18.4; 21.6 18.4; 21.6 18.4; 21.6 18.4; 21.6 18.4]

global c_km = [28.08 32.2; 41.04 20.24; 30.24 43.24; 31.32 30.36; 51.84 22.08; 39.96 29.44]

global p_km = [3.791 4.347; 5.54 2.732; 4.082 5.837; 4.228 4.099; 6.998 2.981; 5.395 3.974]

global c_x = [
1 1 1 22.248;
1 1 2 22.248;
1 1 3 22.248;
1 1 4 22.248;
1 1 5 22.248;
1 1 6 22.248;
1 1 7 22.248;
1 1 8 22.248;
1 1 9 22.248;
1 1 10 22.248;
1 2 1 14.443;
1 2 2 14.443;
1 2 3 14.443;
1 2 4 14.443;
1 2 5 14.443;
1 2 6 14.443;
1 2 7 14.443;
1 2 8 14.443;
1 2 9 14.443;
1 2 10 14.443;
2 1 1 21.276;
2 1 2 21.276;
2 1 3 21.276;
2 1 4 21.276;
2 1 5 21.276;
2 1 6 21.276;
2 1 7 21.276;
2 1 8 21.276;
2 1 9 21.276;
2 1 10 21.276;
2 2 1 22.172;
2 2 2 22.172;
2 2 3 22.172;
2 2 4 22.172;
2 2 5 22.172;
2 2 6 22.172;
2 2 7 22.172;
2 2 8 22.172;
2 2 9 22.172;
2 2 10 22.172;
3 1 1 24.192;
3 1 2 24.192;
3 1 3 24.192;
3 1 4 24.192;
3 1 5 24.192;
3 1 6 24.192;
3 1 7 24.192;
3 1 8 24.192;
3 1 9 24.192;
3 1 10 24.192;
3 2 1 22.907;
3 2 2 22.907;
3 2 3 22.907;
3 2 4 22.907;
3 2 5 22.907;
3 2 6 22.907;
3 2 7 22.907;
3 2 8 22.907;
3 2 9 22.907;
3 2 10 22.907;
4 1 1 22.355;
4 1 2 22.355;
4 1 3 22.355;
4 1 4 22.355;
4 1 5 22.355;
4 1 6 22.355;
4 1 7 22.355;
4 1 8 22.355;
4 1 9 22.355;
4 1 10 22.355;
4 2 1 17.204;
4 2 2 17.204;
4 2 3 17.204;
4 2 4 17.204;
4 2 5 17.204;
4 2 6 17.204;
4 2 7 17.204;
4 2 8 17.204;
4 2 9 17.204;
4 2 10 17.204;
5 1 1 25.055;
5 1 2 25.055;
5 1 3 25.055;
5 1 4 25.055;
5 1 5 25.055;
5 1 6 25.055;
5 1 7 25.055;
5 1 8 25.055;
5 1 9 25.055;
5 1 10 25.055;
5 2 1 20.516;
5 2 2 20.516;
5 2 3 20.516;
5 2 4 20.516;
5 2 5 20.516;
5 2 6 20.516;
5 2 7 20.516;
5 2 8 20.516;
5 2 9 20.516;
5 2 10 20.516;
6 1 1 21.6;
