###################################################
# Classe 17 : K = 4, M = 2, T = 12, N = 10
# Exemplo: 9.   Nome do arquivo: c17ex09.dat          Semente: 8555

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 4 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [52, 74, 74, 89, 89, 91, 93, 93, 108, 119] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 24.624;
1 1 2 24.624;
1 1 3 24.624;
1 1 4 24.624;
1 1 5 24.624;
1 1 6 24.624;
1 1 7 24.624;
1 1 8 24.624;
1 1 9 24.624;
1 1 10 24.624;
1 1 11 24.624;
1 1 12 24.624;
1 2 1 21.896;
1 2 2 21.896;
1 2 3 21.896;
1 2 4 21.896;
1 2 5 21.896;
1 2 6 21.896;
1 2 7 21.896;
1 2 8 21.896;
1 2 9 21.896;
1 2 10 21.896;
1 2 11 21.896;
1 2 12 21.896;
2 1 1 24.192;
2 1 2 24.192;
2 1 3 24.192;
2 1 4 24.192;
2 1 5 24.192;
2 1 6 24.192;
2 1 7 24.192;
2 1 8 24.192;
2 1 9 24.192;
2 1 10 24.192;
2 1 11 24.192;
2 1 12 24.192;
2 2 1 21.988;
2 2 2 21.988;
2 2 3 21.988;
2 2 4 21.988;
2 2 5 21.988;
2 2 6 21.988;
2 2 7 21.988;
2 2 8 21.988;
2 2 9 21.988;
2 2 10 21.988;
2 2 11 21.988;
2 2 12 21.988;
3 1 1 25.272;
3 1 2 25.272;
3 1 3 25.272;
3 1 4 25.272;
3 1 5 25.272;
3 1 6 25.272;
3 1 7 25.272;
3 1 8 25.272;
3 1 9 25.272;
3 1 10 25.272;
3 1 11 25.272;
3 1 12 25.272;
3 2 1 21.62;
3 2 2 21.62;
3 2 3 21.62;
3 2 4 21.62;
3 2 5 21.62;
3 2 6 21.62;
3 2 7 21.62;
3 2 8 21.62;
3 2 9 21.62;
3 2 10 21.62;
3 2 11 21.62;
3 2 12 21.62;
4 1 1 17.604;
