###################################################
# Classe 26 : K = 6, M = 2, T = 12, N = 10
# Exemplo: 9.   Nome do arquivo: c26ex09.dat          Semente: 9994

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 12 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [61, 70, 70, 89, 93, 101, 104, 114, 121, 150] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 25.272;
1 1 2 25.272;
1 1 3 25.272;
1 1 4 25.272;
1 1 5 25.272;
1 1 6 25.272;
1 1 7 25.272;
1 1 8 25.272;
1 1 9 25.272;
1 1 10 25.272;
1 1 11 25.272;
1 1 12 25.272;
1 2 1 16.1;
1 2 2 16.1;
1 2 3 16.1;
1 2 4 16.1;
1 2 5 16.1;
1 2 6 16.1;
1 2 7 16.1;
1 2 8 16.1;
1 2 9 16.1;
1 2 10 16.1;
1 2 11 16.1;
1 2 12 16.1;
2 1 1 17.928;
2 1 2 17.928;
2 1 3 17.928;
2 1 4 17.928;
2 1 5 17.928;
2 1 6 17.928;
2 1 7 17.928;
2 1 8 17.928;
2 1 9 17.928;
2 1 10 17.928;
2 1 11 17.928;
2 1 12 17.928;
2 2 1 18.4;
2 2 2 18.4;
2 2 3 18.4;
2 2 4 18.4;
2 2 5 18.4;
2 2 6 18.4;
2 2 7 18.4;
2 2 8 18.4;
2 2 9 18.4;
2 2 10 18.4;
2 2 11 18.4;
2 2 12 18.4;
3 1 1 17.28;
3 1 2 17.28;
3 1 3 17.28;
3 1 4 17.28;
3 1 5 17.28;
3 1 6 17.28;
3 1 7 17.28;
3 1 8 17.28;
3 1 9 17.28;
3 1 10 17.28;
3 1 11 17.28;
3 1 12 17.28;
3 2 1 18.4;
3 2 2 18.4;
3 2 3 18.4;
3 2 4 18.4;
3 2 5 18.4;
3 2 6 18.4;
3 2 7 18.4;
3 2 8 18.4;
3 2 9 18.4;
3 2 10 18.4;
