###################################################
# Classe 19 : K = 6, M = 2, T = 8, N = 5
# Exemplo: 6.   Nome do arquivo: c19ex06.dat          Semente: 3301

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [52, 58, 121, 141, 149] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 25.92;
1 1 2 25.92;
1 1 3 25.92;
1 1 4 25.92;
1 1 5 25.92;
1 1 6 25.92;
1 1 7 25.92;
1 1 8 25.92;
1 2 1 17.572;
1 2 2 17.572;
1 2 3 17.572;
1 2 4 17.572;
1 2 5 17.572;
1 2 6 17.572;
1 2 7 17.572;
1 2 8 17.572;
2 1 1 20.087;
2 1 2 20.087;
2 1 3 20.087;
2 1 4 20.087;
2 1 5 20.087;
2 1 6 20.087;
2 1 7 20.087;
2 1 8 20.087;
2 2 1 17.388;
2 2 2 17.388;
2 2 3 17.388;
2 2 4 17.388;
2 2 5 17.388;
2 2 6 17.388;
2 2 7 17.388;
2 2 8 17.388;
3 1 1 19.116;
3 1 2 19.116;
3 1 3 19.116;
3 1 4 19.116;
3 1 5 19.116;
3 1 6 19.116;
3 1 7 19.116;
3 1 8 19.116;
3 2 1 18.308;
3 2 2 18.308;
3 2 3 18.308;
3 2 4 18.308;
3 2 5 18.308;
3 2 6 18.308;
3 2 7 18.308;
3 2 8 18.308;
4 1 1 27.0;
4 1 2 27.0;
4 1 3 27.0;
4 1 4 27.0;
4 1 5 27.0;
4 1 6 27.0;
4 1 7 27.0;
4 1 8 27.0;
4 2 1 14.443;
4 2 2 14.443;
4 2 3 14.443;
4 2 4 14.443;
4 2 5 14.443;
4 2 6 14.443;
4 2 7 14.443;
4 2 8 14.443;
5 1 1 17.064;
5 1 2 17.064;
5 1 3 17.064;
5 1 4 17.064;
5 1 5 17.064;
5 1 6 17.064;
5 1 7 17.064;
