###################################################
# Classe 1 : K = 2, M = 2, T = 8, N = 5
# Exemplo: 6.   Nome do arquivo: c1ex06.dat          Semente: 6838

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 2 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [79, 120, 127, 139, 149] # Larguras dos itens

global rho = [2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 16.74;
1 1 2 16.74;
1 1 3 16.74;
1 1 4 16.74;
1 1 5 16.74;
1 1 6 16.74;
1 1 7 16.74;
1 1 8 16.74;
1 2 1 21.528;
1 2 2 21.528;
1 2 3 21.528;
1 2 4 21.528;
1 2 5 21.528;
1 2 6 21.528;
1 2 7 21.528;
1 2 8 21.528;
2 1 1 23.22;
2 1 2 23.22;
2 1 3 23.22;
2 1 4 23.22;
2 1 5 23.22;
2 1 6 23.22;
2 1 7 23.22;
2 1 8 23.22;
2 2 1 15.64;
2 2 2 15.64;
2 2 3 15.64;
2 2 4 15.64;
2 2 5 15.64;
2 2 6 15.64;
2 2 7 15.64;
2 2 8 15.64;
]

# cw: custo de estocar uma bobina mestre
global c_w = [
1 1 1 0.012;
1 1 2 0.012;
1 1 3 0.012;
1 1 4 0.012;
1 1 5 0.012;
1 1 6 0.012;
1 1 7 0.012;
1 1 8 0.012;
1 2 1 0.01;
1 2 2 0.01;
1 2 3 0.01;
1 2 4 0.01;
1 2 5 0.01;
1 2 6 0.01;
1 2 7 0.01;
1 2 8 0.01;
2 1 1 0.011;
2 1 2 0.011;
2 1 3 0.011;
2 1 4 0.011;
2 1 5 0.011;
2 1 6 0.011;
2 1 7 0.011;
2 1 8 0.011;
2 2 1 0.009;
2 2 2 0.009;
2 2 3 0.009;
2 2 4 0.009;
2 2 5 0.009;
2 2 6 0.009;
2 2 7 0.009;
2 2 8 0.009;
]

# cz: custo de setup por bobina mestre
global c_z = [
1 1 1 0.686;
1 1 2 0.686;
1 1 3 0.686;
1 1 4 0.686;
1 1 5 0.686;
1 1 6 0.686;
1 1 7 0.686;
1 1 8 0.686;
1 2 1 0.775;
1 2 2 0.775;
1 2 3 0.775;
1 2 4 0.775;
1 2 5 0.775;
1 2 6 0.775;
1 2 7 0.775;
1 2 8 0.775;
2 1 1 1.045;
2 1 2 1.045;
2 1 3 1.045;
2 1 4 1.045;
2 1 5 1.045;
2 1 6 1.045;
2 1 7 1.045;
2 1 8 1.045;
2 2 1 0.532;
2 2 2 0.532;
2 2 3 0.532;
2 2 4 0.532;
2 2 5 0.532;
2 2 6 0.532;
2 2 7 0.532;
2 2 8 0.532;
]

# cy: custo de corte por bobina mestre
global c_y = [
1 1 1 2.511;
1 1 2 2.511;
1 1 3 2.511;
1 1 4 2.511;
1 1 5 2.511;
1 1 6 2.511;
1 1 7 2.511;
1 1 8 2.511;
1 2 1 2.799;
1 2 2 2.799;
1 2 3 2.799;
1 2 4 2.799;
1 2 5 2.799;
1 2 6 2.799;
1 2 7 2.799;
1 2 8 2.799;
2 1 1 3.483;
2 1 2 3.483;
2 1 3 3.483;
2 1 4 3.483;
2 1 5 3.483;
2 1 6 3.483;
2 1 7 3.483;
2 1 8 3.483;
2 2 1 2.033;
2 2 2 2.033;
2 2 3 2.033;
2 2 4 2.033;
2 2 5 2.033;
2 2 6 2.033;
2 2 7 2.033;
2 2 8 2.033;
]

# c_e: Custo de estocar um item de largura l_i
global c_e = [
1 1 1 0.006;
1 1 2 0.006;
1 1 3 0.006;
1 1 4 0.006;
1 1 5 0.006;
1 1 6 0.006;
1 1 7 0.006;
1 1 8 0.006;
1 2 1 0.005;
1 2 2 0.005;
1 2 3 0.005;
1 2 4 0.005;
1 2 5 0.005;
1 2 6 0.005;
1 2 7 0.005;
1 2 8 0.005;
2 1 1 0.006;
2 1 2 0.006;
2 1 3 0.006;
2 1 4 0.006;
2 1 5 0.006;
2 1 6 0.006;
2 1 7 0.006;
2 1 8 0.006;
2 2 1 0.005;
2 2 2 0.005;
2 2 3 0.005;
2 2 4 0.005;
2 2 5 0.005;
2 2 6 0.005;
2 2 7 0.005;
2 2 8 0.005;
3 1 1 0.006;
3 1 2 0.006;
3 1 3 0.006;
3 1 4 0.006;
3 1 5 0.006;
3 1 6 0.006;
3 1 7 0.006;
3 1 8 0.006;
3 2 1 0.005;
3 2 2 0.005;
3 2 3 0.005;
3 2 4 0.005;
3 2 5 0.005;
3 2 6 0.005;
3 2 7 0.005;
3 2 8 0.005;
4 1 1 0.006;
4 1 2 0.006;
4 1 3 0.006;
4 1 4 0.006;
4 1 5 0.006;
4 1 6 0.006;
4 1 7 0.006;
4 1 8 0.006;
4 2 1 0.005;
4 2 2 0.005;
4 2 3 0.005;
4 2 4 0.005;
4 2 5 0.005;
4 2 6 0.005;
4 2 7 0.005;
4 2 8 0.005;
5 1 1 0.006;
5 1 2 0.006;
5 1 3 0.006;
5 1 4 0.006;
5 1 5 0.006;
5 1 6 0.006;
5 1 7 0.006;
5 1 8 0.006;
5 2 1 0.005;
