###################################################
# Classe 19 : K = 6, M = 2, T = 8, N = 5
# Exemplo: 7.   Nome do arquivo: c19ex07.dat          Semente: 7763

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [57, 65, 76, 98, 139] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 20.196;
1 1 2 20.196;
1 1 3 20.196;
1 1 4 20.196;
1 1 5 20.196;
1 1 6 20.196;
1 1 7 20.196;
1 1 8 20.196;
1 2 1 15.547;
1 2 2 15.547;
1 2 3 15.547;
1 2 4 15.547;
1 2 5 15.547;
1 2 6 15.547;
1 2 7 15.547;
1 2 8 15.547;
2 1 1 18.468;
2 1 2 18.468;
2 1 3 18.468;
2 1 4 18.468;
2 1 5 18.468;
2 1 6 18.468;
2 1 7 18.468;
2 1 8 18.468;
2 2 1 18.584;
2 2 2 18.584;
2 2 3 18.584;
2 2 4 18.584;
2 2 5 18.584;
2 2 6 18.584;
2 2 7 18.584;
2 2 8 18.584;
3 1 1 21.384;
3 1 2 21.384;
3 1 3 21.384;
3 1 4 21.384;
3 1 5 21.384;
3 1 6 21.384;
3 1 7 21.384;
3 1 8 21.384;
3 2 1 18.032;
3 2 2 18.032;
3 2 3 18.032;
3 2 4 18.032;
3 2 5 18.032;
3 2 6 18.032;
3 2 7 18.032;
3 2 8 18.032;
4 1 1 22.572;
4 1 2 22.572;
4 1 3 22.572;
4 1 4 22.572;
4 1 5 22.572;
4 1 6 22.572;
4 1 7 22.572;
4 1 8 22.572;
4 2 1 18.952;
4 2 2 18.952;
4 2 3 18.952;
4 2 4 18.952;
4 2 5 18.952;
4 2 6 18.952;
4 2 7 18.952;
4 2 8 18.952;
5 1 1 25.596;
5 1 2 25.596;
5 1 3 25.596;
5 1 4 25.596;
5 1 5 25.596;
5 1 6 25.596;
5 1 7 25.596;
