###################################################
# Classe 23 : K = 6, M = 2, T = 10, N = 10
# Exemplo: 5.   Nome do arquivo: c23ex05.dat          Semente: 2735

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 10 # Períodos
global N = 10 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [51, 56, 59, 86, 93, 95, 104, 110, 111, 138] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 21.492;
1 1 2 21.492;
1 1 3 21.492;
1 1 4 21.492;
1 1 5 21.492;
1 1 6 21.492;
1 1 7 21.492;
1 1 8 21.492;
1 1 9 21.492;
1 1 10 21.492;
1 2 1 20.791;
1 2 2 20.791;
1 2 3 20.791;
1 2 4 20.791;
1 2 5 20.791;
1 2 6 20.791;
1 2 7 20.791;
1 2 8 20.791;
1 2 9 20.791;
1 2 10 20.791;
2 1 1 24.624;
2 1 2 24.624;
2 1 3 24.624;
2 1 4 24.624;
2 1 5 24.624;
2 1 6 24.624;
2 1 7 24.624;
2 1 8 24.624;
2 1 9 24.624;
2 1 10 24.624;
2 2 1 22.632;
2 2 2 22.632;
2 2 3 22.632;
2 2 4 22.632;
2 2 5 22.632;
2 2 6 22.632;
2 2 7 22.632;
2 2 8 22.632;
2 2 9 22.632;
2 2 10 22.632;
3 1 1 23.976;
3 1 2 23.976;
3 1 3 23.976;
3 1 4 23.976;
3 1 5 23.976;
3 1 6 23.976;
3 1 7 23.976;
3 1 8 23.976;
3 1 9 23.976;
3 1 10 23.976;
3 2 1 18.86;
3 2 2 18.86;
3 2 3 18.86;
3 2 4 18.86;
3 2 5 18.86;
3 2 6 18.86;
3 2 7 18.86;
3 2 8 18.86;
3 2 9 18.86;
3 2 10 18.86;
4 1 1 20.628;
4 1 2 20.628;
4 1 3 20.628;
4 1 4 20.628;
4 1 5 20.628;
4 1 6 20.628;
4 1 7 20.628;
4 1 8 20.628;
4 1 9 20.628;
4 1 10 20.628;
