###################################################
# Classe 19 : K = 6, M = 2, T = 8, N = 5
# Exemplo: 1.   Nome do arquivo: c19ex01.dat          Semente: 6838

global Q1 = 1e5
global Q2 = 1e5
#-----------------------Parâmetros----------------------
global K = 6 # Gramaturas
global M = 2 # Bobinas mestres (máquinas)
global T = 8 # Períodos
global N = 5 # Itens

global L = [540, 460] # Larguras das bobinas mestres

global l = [79, 120, 127, 139, 149] # Larguras dos itens

global rho = [2.0, 2.0, 2.0, 2.0, 2.0, 2.0] # Peso específico da bobina mestre

global b = [1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0; 1080.0 920.0] # Peso total da bobina mestre
#-----------------------Custos----------------------

# Custo de produção da bobina mestre
global c_x = [
1 1 1 16.74;
1 1 2 16.74;
1 1 3 16.74;
1 1 4 16.74;
1 1 5 16.74;
1 1 6 16.74;
1 1 7 16.74;
1 1 8 16.74;
1 2 1 16.468;
1 2 2 16.468;
1 2 3 16.468;
1 2 4 16.468;
1 2 5 16.468;
1 2 6 16.468;
1 2 7 16.468;
1 2 8 16.468;
2 1 1 23.22;
2 1 2 23.22;
2 1 3 23.22;
2 1 4 23.22;
2 1 5 23.22;
2 1 6 23.22;
2 1 7 23.22;
2 1 8 23.22;
2 2 1 15.547;
2 2 2 15.547;
2 2 3 15.547;
2 2 4 15.547;
2 2 5 15.547;
2 2 6 15.547;
2 2 7 15.547;
2 2 8 15.547;
3 1 1 25.272;
3 1 2 25.272;
3 1 3 25.272;
3 1 4 25.272;
3 1 5 25.272;
3 1 6 25.272;
3 1 7 25.272;
3 1 8 25.272;
3 2 1 22.816;
3 2 2 22.816;
3 2 3 22.816;
3 2 4 22.816;
3 2 5 22.816;
3 2 6 22.816;
3 2 7 22.816;
3 2 8 22.816;
4 1 1 18.36;
4 1 2 18.36;
4 1 3 18.36;
4 1 4 18.36;
4 1 5 18.36;
4 1 6 18.36;
4 1 7 18.36;
4 1 8 18.36;
4 2 1 22.355;
4 2 2 22.355;
4 2 3 22.355;
4 2 4 22.355;
4 2 5 22.355;
4 2 6 22.355;
4 2 7 22.355;
4 2 8 22.355;
5 1 1 22.14;
5 1 2 22.14;
5 1 3 22.14;
5 1 4 22.14;
5 1 5 22.14;
5 1 6 22.14;
5 1 7 22.14;
